id,raw_code,comment,label,generated_comment
35374,"public void compileProjects(List<File> projects,IssueAcceptor issueAcceptor) throws N4JSCompileException {
  compileProjects(Arrays.asList(new File(""."")),projects,Collections.emptyList(),issueAcceptor);
}",compile a list of projects .,what,"This method compiles a list of project directories specified by the `projects` parameter, using the current directory (denoted by `"".""`) as the"
63102,"public static ServerSocket createServerSocket(int port,InetAddress bindAddress) throws IOException {
  ServerSocket socket=null;
  if (SysProperties.ENABLE_ANONYMOUS_TLS) {
    removeAnonFromLegacyAlgorithms();
  }
  setKeystore();
  ServerSocketFactory f=SSLServerSocketFactory.getDefault();
  SSLServerSocket secureSocket;
  if (bindAddress == null) {
    secureSocket=(SSLServerSocket)f.createServerSocket(port);
  }
 else {
    secureSocket=(SSLServerSocket)f.createServerSocket(port,0,bindAddress);
  }
  secureSocket.setEnabledProtocols(disableSSL(secureSocket.getEnabledProtocols()));
  if (SysProperties.ENABLE_ANONYMOUS_TLS) {
    String[] list=enableAnonymous(secureSocket.getEnabledCipherSuites(),secureSocket.getSupportedCipherSuites());
    secureSocket.setEnabledCipherSuites(list);
  }
  socket=secureSocket;
  return socket;
}",create a secure server socket .,what,This method creates a secure server socket bound to the specified port and optionally to a specific IP address. It configures the server socket with SSL/TLS
66421,"protected void paintContentBorderBottomEdge(Graphics g,int x,int y,int w,int h,boolean drawBroken,Rectangle selRect,boolean isContentBorderPainted){
  if (isContentBorderPainted) {
    g.setColor(darkShadow);
    g.fillRect(x,y + h - 1,w - 1,1);
  }
}",draws the bottom edge of the border around the content area .,what,"This method paints the bottom edge of the content border. If the `isContentBorderPainted` flag is true, it sets the color to `"
85097,"private void serializeCompactRDFGeneralQualifier(int indent,XMPNode node) throws IOException, XMPException {
  write("" rdf:parseType=\""Resource\"">"");
  writeNewline();
  serializeCanonicalRDFProperty(node,false,true,indent + 1);
  for (Iterator iq=node.iterateQualifier(); iq.hasNext(); ) {
    XMPNode qualifier=(XMPNode)iq.next();
    serializeCanonicalRDFProperty(qualifier,false,false,indent + 1);
  }
}",serializes the general qualifier .,what,"Serializes an RDF node with general qualifiers using a compact RDF format. This method writes the `rdf:parseType=""Resource""` attribute to indicate that"
78353,"public static void log(final String msg,final Throwable t){
  if (DEBUG) {
    log(msg);
    t.printStackTrace(System.out);
  }
}",prints msg and exception to system . out .,what,This method logs a message and the stack trace of a throwable to the standard output if debugging is enabled. It first checks if the `DEBUG` flag
19645,"public MessageTokenizer(IDiscordClient client,String content){
  if (content == null)   throw new IllegalArgumentException(""Content cannot be null!"");
  if (content.length() == 0)   throw new IllegalArgumentException(""Content must have length!"");
  if (client == null)   throw new IllegalArgumentException(""Client cannot be null!"");
  this.content=content;
  this.client=client;
  stepForward(0);
}",initializes with the string contents .,what,"Initializes a `MessageTokenizer` with a Discord client and a non-empty content string, validating the presence of both. It sets up the tokenizer to"
67801,"protected void createFromHValues(int[] hValues,int partitions){
  Arrays.sort(hValues);
  this.splits=new int[partitions];
  int maxH=0x7fffffff;
  for (int i=0; i < splits.length; i++) {
    int quantile=(int)((long)(i + 1) * hValues.length / partitions);
    this.splits[i]=quantile == hValues.length ? maxH : hValues[quantile];
  }
}",create a hilbertcurvepartitioner from a list of points,what,This method initializes the `splits` array by dividing the sorted `hValues` into specified `partitions`. Each partition point is determined by calculating
61104,"private Set unionIPRange(byte[] ipWithSubmask1,byte[] ipWithSubmask2){
  Set set=new HashSet();
  if (Arrays.areEqual(ipWithSubmask1,ipWithSubmask2)) {
    set.add(ipWithSubmask1);
  }
 else {
    set.add(ipWithSubmask1);
    set.add(ipWithSubmask2);
  }
  return set;
}",calculates the union if two ip ranges .,what,"This method calculates the union of two IP ranges, each represented by a byte array that includes both the IP address and its subnet mask. If the two"
2083,"private static List<Size> pickUpToThree(List<Size> sizes){
  List<Size> result=new ArrayList<Size>();
  Size largest=sizes.get(0);
  result.add(largest);
  Size lastSize=largest;
  for (  Size size : sizes) {
    double targetArea=Math.pow(.5,result.size()) * area(largest);
    if (area(size) < targetArea) {
      if (!result.contains(lastSize) && (targetArea - area(lastSize) < area(size) - targetArea)) {
        result.add(lastSize);
      }
 else {
        result.add(size);
      }
    }
    lastSize=size;
    if (result.size() == 3) {
      break;
    }
  }
  if (result.size() < 3 && !result.contains(lastSize)) {
    result.add(lastSize);
  }
  return result;
}","given a list of sizes of a similar aspect ratio , it tries to pick evenly spaced out options .",what,"selects up to three sizes from a list based on a decreasing area criterion, starting with the largest size and adding smaller sizes until the list contains three"
34848,"@SuppressWarnings(""purity"") private static boolean isRegex(String s){
  try {
    Pattern.compile(s);
  }
 catch (  PatternSyntaxException e) {
    return false;
  }
  return true;
}",this method is a copy of regexutil . isregex .,what,checks if the provided string is a valid regular expression by attempting to compile it; returns false if a syntax error occurs.
