commit,project,Multi-files?,patch,HM,Rationality (0-4),Comprehensiveness (0-4),Conciseness (0-4),Expressiveness (0-4),FIRA,Rationality (0-4).1,Comprehensiveness (0-4).1,Conciseness (0-4).1,Expressiveness (0-4).1,OMG,Rationality (0-4).2,Comprehensiveness (0-4).2,Conciseness (0-4).2,Expressiveness (0-4).2,MAD,AMG,AMG_OMG_BLEU,AMG_OMG_ROUGEL,AMG_OMG_METEOR,AMG_OMG_BLEURT,MAD_OMG_BLEU,MAD_OMG_ROUGEL,MAD_OMG_METEOR,MAD_OMG_BLEURT
e3e91155adb831bb487133b16c7ab78a230a713f,apache/ambari,,"File: ambari-server/src/test/java/org/apache/ambari/server/controller/metrics/timeline/cache/TimelineMetricCacheTest.java
Status: modified
```diff
@@ -419,7 +419,7 @@ public void testTimelineMetricCachePrecisionUpdates() throws Exception {
     long year = 365 * day;
 
     //Original Values
-    Map<String, TimelineMetric> valueMap = new HashMap();
+    Map<String, TimelineMetric> valueMap = new HashMap<String, TimelineMetric>();
     TimelineMetric timelineMetric = new TimelineMetric();
     timelineMetric.setMetricName(""cpu_user"");
     timelineMetric.setAppId(""app1"");
```","Revert ""Fix unnecessary type casting in Test"" This reverts commit f3ab77c.",0,0,4,3,remove unused parameter,0,0,4,4,"Refactor: Specify type of HashMap in `testTimelineMetricCachePrecisionUpdates()`In the `testTimelineMetricCachePrecisionUpdates()` method in the `TimelineMetricCacheTest.java` file, the type of the HashMap `valueMap` was specified in its initialization. This change improves the code's internal structure without altering its external behavior._x001B_",4,4,4,4,"style: Specify type parameter for HashMap in TimelineMetricCacheTest
Removed redundant type declaration in TimelineMetricCacheTest.java","style: Improve code formatting in TimelineMetricCacheTest
This commit updates the code formatting in the TimelineMetricCacheTest class by adding type parameters to the HashMap instantiation, making the code more readable and maintainable.",6.61,26.09,21.41,0.0,3.16,26.42,13.51,0.0
5b377d290d4ff3d4557987da9b3c2dd802203cde,apache/ant,,"File: src/main/org/apache/tools/ant/taskdefs/ExecTask.java
Status: modified
```diff
@@ -323,7 +323,7 @@ protected void runExec(Execute exe) throws BuildException {
             runExecute(exe);
         } catch (IOException e) {
             if (failIfExecFails) {
-                throw new BuildException(""Execute failed: "",e, location);
+                throw new BuildException(""Execute failed: ""+e.toString(),e, location);
             } else {
                 log(""Execute failed: ""+e.toString(), Project.MSG_ERR);
             }
```",Last weeks changes took away helpful information about why exec failed to run; this puts it back in.,4,3,4,4,improve error message,3,2,4,4,"Fix: Provide more detailed exception message in `runExec` method In the `runExec` method of `ExecTask.java`, the exception message when the command line process execution fails has been updated to include more information about the exception. This change improves the error handling by providing more context about the exception, which can be helpful for debugging._x001B_[0m",4,4,4,4,"fix: Include executable error message in BuildException
Update the error message in ExecTask to provide more informative error details when throwing a BuildException.","fix: Improve error message in ExecTask
When an IOException occurs in ExecTask, the error message was not providing enough information. This commit updates the error message to include the exception's toString() output, making it easier to diagnose and fix issues.",4.56,25.0,21.79,0.0,2.27,20.25,18.16,0.0
1a3090627d25c1ede9407003e24d7e76ca48f293,apache/ant,,"File: proposal/myrmidon/src/java/org/apache/antlib/xml/XMLValidateTask.java
Status: modified
```diff
@@ -243,7 +243,8 @@ private EntityResolver buildEntityResolver()
         final LocalResolver resolver = new LocalResolver();
         setupLogger( resolver );
 
-        for( int i = 0; i < m_dtdLocations.size(); i++ )
+        final int size = m_dtdLocations.size();
+        for( int i = 0; i < size; i++ )
         {
             final DTDLocation location = (DTDLocation)m_dtdLocations.get( i );
             resolver.registerDTD( location );
```",Made complex loop counter a simple constant Removing a Audit violation,4,3,3,4,fix a bug in XMLValidateTask,2,0,4,4,"Refactor: Optimize loop in XMLValidateTask This commit introduces a minor optimization in the XMLValidateTask class. A new variable 'size' is introduced to hold the size of 'm_dtdLocations', which is then used in the for loop condition. This change improves the structure of the code without altering its functionality._x001B_[0m",4,4,4,4,"refactor: Cache m_dtdLocations size for efficient iteration
Avoid repeated calls to size() method by storing the size in a local variable.","refactor: Improve iteration over m_dtdLocations
This commit refactors the iteration over m_dtdLocations by introducing a local variable to store the size of the collection, making the code more efficient and easier to read.",7.04,28.24,20.52,0.0,3.3,16.67,11.68,0.0
cfa604fd9941bf59641e989306c4356dab156015,apache/ant,,"File: src/testcases/org/apache/tools/ant/util/DateUtilsTest.java
Status: modified
```diff
@@ -92,7 +92,7 @@ public void testDateTimeISO(){
     public void testDateISO(){
         TimeZone timeZone = TimeZone.getTimeZone(""GMT"");
         Calendar cal = Calendar.getInstance(timeZone);
-        emailtaskcal.set(2002,1,23);
+        cal.set(2002,1,23);
         String text = DateUtils.format(cal.getTime(),
                 DateUtils.ISO8601_DATE_PATTERN);
         assertEquals(""2002-02-23"", text);
```",testcase wouldn't compile - slipping fingers?,3,0,1,2,fix broken test,4,2,4,4,"Fix: Correct object used to set date in testDateISO() method In the 'testDateISO()' method of the 'DateUtilsTest.java' file, the object used to set the calendar date has been corrected from 'emailtaskcal' to 'cal'. This change ensures that the method tests the conversion of a date to an ISO 8601 string correctly._x001B_[0m",4,4,4,4,"fix: Use correct calendar instance in testDateISO method
Updated the testDateISO method to set the date on the correct calendar instance, ensuring accurate date formatting in ISO 8601 format.","refactor: Update testDateISO method to use Calendar instance
Refactored the testDateISO method in DateUtilsTest to correctly set the date using the Calendar instance. This change ensures that the date is formatted correctly in ISO 8601 format.",15.06,40.45,36.83,0.0,5.58,36.59,26.61,0.0
5e099552e5af434568a4294cf7bcebb732cd3bfa,apache/ant,Y,"File: proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java
Status: modified
```diff
@@ -86,10 +86,7 @@ public class Translate
      * Create new destination file? Defaults to false.
      */
     private boolean forceOverwrite;
-    /**
-     * Generated locale based on user attributes
-     */
-    private Locale locale;
+
     /**
      * Source file encoding scheme
      */
@@ -564,7 +561,6 @@ private void translate()
                         String line;
                         while( ( line = in.readLine() ) != null )
                         {
-                            StringBuffer newline = new StringBuffer( line );
                             int startIndex = -1;
                             int endIndex = -1;
                             outer :
```


File: proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java
Status: modified
```diff
@@ -86,10 +86,7 @@ public class Translate
      * Create new destination file? Defaults to false.
      */
     private boolean forceOverwrite;
-    /**
-     * Generated locale based on user attributes
-     */
-    private Locale locale;
+
     /**
      * Source file encoding scheme
      */
@@ -564,7 +561,6 @@ private void translate()
                         String line;
                         while( ( line = in.readLine() ) != null )
                         {
-                            StringBuffer newline = new StringBuffer( line );
                             int startIndex = -1;
                             int endIndex = -1;
                             outer :
```",Delete some unused variables,4,3,4,4,remove unused field,4,3,4,4,"Refactor: Remove unused variables in Translate.java In both the 'proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java' and 'proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java' files, the private Locale variable 'locale' and the StringBuffer 'newline' in the 'translate' method have been removed. These variables were not used, and their removal simplifies the code without affecting its functionality._x001B_[0m",4,4,4,4,"refactor: Remove unused variables
Removed private Locale locale and StringBuffer newline variables that were not being used in the Translate class.","refactor: Remove unused fields and variables
This commit removes the unused 'locale' field and 'newline' variable from the Translate class, simplifying its internal structure and making it easier to maintain.",4.72,28.21,22.79,0.0,4.33,40.58,32.89,0.0
4ffa9e1380956291543b6662e6ebfe89e859ebeb,apache/ant,,"File: src/main/org/apache/tools/ant/ComponentHelper.java
Status: modified
```diff
@@ -434,7 +434,15 @@ public Hashtable getAntTypeTable() {
      */
     public Task createTask(String taskType) throws BuildException {
         Task task=createNewTask(taskType);
-        if(task!=null) {
+        if (task == null && taskType.equals(""property"")) {
+            // quick fix for Ant.java use of property before
+            // initializeing the project
+            addTaskDefinition(""property"",
+                              org.apache.tools.ant.taskdefs.Property.class);
+            task = createNewTask(taskType);
+        }
+            
+        if (task != null) {
             addCreatedTask(taskType, task);
         }
         return task;
```",quick fix for Ant.java use of property in Ant#reinit,1,4,4,2,fix a bug in ComponentHelper,2,2,4,4,"Fix: Handle null task in createTask method In the createTask method of the ComponentHelper class, added a condition to handle a case where the task is null and the taskType equals ""property"". In this case, a new task definition is added and a new task is created. This is a fix for a situation where the ""property"" task is used before the project is initialized._x001B_[0m",4,4,4,4,"fix: Handle null task when creating 'property' task type
Fixes BuildException by adding a task definition for 'property' tasks before creating them","fix: Handle null task for 'property' task type
This commit fixes an issue where a null task was returned when creating a task of type 'property'. A quick fix is implemented to add a task definition for 'property' and recreate the task if it's null. This ensures that the task is properly initialized.",9.81,30.25,28.6,0.0,2.0,25.0,12.02,0.0
42e30982adb99585237d6b9c9478ca1d647cc074,apache/ant,,"File: src/main/org/apache/tools/bzip2/CBZip2OutputStream.java
Status: modified
```diff
@@ -411,8 +411,9 @@ private void writeRun() throws IOException {
 
     boolean closed = false;
 
-    public void finalize() throws Throwable {
+    protected void finalize() throws Throwable {
         close();
+        super.finalize();
     }
 
     public void close() throws IOException {
```",Fix incorrect finalize override,3,4,4,4,make finalize public,0,0,4,4,"Refactor: Change visibility of finalize method in CBZip2OutputStream The visibility of the `finalize` method in `CBZip2OutputStream.java` has been changed from `public` to `protected`, and a call to `super.finalize()` has been added. This ensures that the object is properly closed when it's garbage collected._x001B_[0m",4,4,4,4,"refactor: Make finalize method protected
Ensure resource closure on garbage collection by calling close method in finalize method.","refactor: Improve finalize method in CBZip2OutputStream
Changed the finalize method to be protected and added a call to super.finalize() to ensure proper resource release. This change improves the internal structure of the CBZip2OutputStream class, making it more efficient and easier to maintain.",18.56,38.2,36.36,0.0,2.01,18.75,15.35,0.0
50f9f4ee6f3a436fe05a0360e6e1d09851aba00c,apache/ant,,"File: src/testcases/org/apache/tools/tar/TarRoundTripTest.java
Status: modified
```diff
@@ -54,6 +54,7 @@
 package org.apache.tools.tar;
 
 import java.io.IOException;
+import java.io.ByteArrayInputStream;
 import java.io.ByteArrayOutputStream;
 import junit.framework.TestCase;
 
```",Add missing import,4,4,4,4,add missing import,4,4,4,4,Feat: Add import statement in TarRoundTripTest.java Added import statement for ByteArrayInputStream in TarRoundTripTest.java.,3,4,4,4,"style: Add java.io.ByteArrayInputStream import statement
TarRoundTripTest.java now includes the necessary import for ByteArrayInputStream, ensuring compile-time correctness.","feat: Add import statement for ByteArrayInputStream
This commit adds the necessary import statement for ByteArrayInputStream in TarRoundTripTest.java, ensuring that the class can properly utilize the ByteArrayInputStream functionality.",34.85,52.38,68.52,0.0,12.0,36.36,30.03,0.0
4177bdb64e339c8ee010ab514d0670cdcee1d963,apache/ant,,"File: src/main/org/apache/tools/ant/taskdefs/optional/net/FTP.java
Status: modified
```diff
@@ -291,7 +291,7 @@ protected void scandir(String dir, String vpath, boolean fast) {
                         } else {
                             String name = vpath + file.getName();
                             if (!isFollowSymlinks() && file.isSymbolicLink()) {
-                                dirsExcluded.addElement(name);
+                                filesExcluded.addElement(name);
                             } else if (isFunctioningAsFile(ftp, dir, file)) {
                                 if (isIncluded(name)) {
                                     if (!isExcluded(name)) {
```",mistake found ... oops ... Corrected,1,0,4,3,fix the build,1,2,4,4,"Fix: Correct classification of symbolic links in FTP.java In the method 'scandir' of the class 'FTP.java', symbolic links were previously classified as directories and added to 'dirsExcluded'. This commit corrects this misclassification by adding symbolic links to 'filesExcluded' instead. This change ensures that symbolic links are correctly identified and handled.",4,4,4,4,"fix: Exclude symbolic links correctly in FTP scandir
Changed dirsExcluded to filesExcluded in scandir method to handle symbolic links as files.","fix: Correctly categorize symbolic links in FTP directory scan
Fixed an issue where symbolic links were incorrectly excluded as directories during FTP directory scanning. Now, they are correctly added to the filesExcluded list. This change ensures that symbolic links are properly handled during the scanning process.",23.44,43.3,43.75,0.0,2.71,27.78,22.41,0.0
f26efe57b3dd44192d50ef1af3befe01a03c7bf6,apache/ant,,"File: src/testcases/org/apache/tools/ant/taskdefs/StyleTest.java
Status: modified
```diff
@@ -65,7 +65,7 @@
 
 
 /**
- * TestCases fuer <style> / <xslt> task.
+ * TestCases for <style> / <xslt> task.
  * @author Jan Materne
  * @version 2003-08-05
  */
```",typo - sort of,4,4,4,3,fix typo in javadoc,4,4,4,4,Style: Corrected language in comment Changed the language of a comment in the StyleTest.java file from German to English for better understanding.,0,2,4,4,"style: Fix typo in comment
Update 'TestCases fuer <style> / <xslt> task.' comment to use correct English spelling.","style: Update comment to use English
This commit updates a comment in StyleTest.java to use English instead of German. The change is minor and does not affect the functionality of the code.",11.41,32.73,39.97,0.0,6.53,25.64,15.56,0.0
