project,commit,commit_url,incremental,incremental-enhanced,vanilla,AMG,OMG
apache/ambari,e3e91155adb831bb487133b16c7ab78a230a713f,https://github.com/apache/ambari/commit/e3e91155adb831bb487133b16c7ab78a230a713f,"style: Add type parameter to HashMap instantiation
Added type parameter to HashMap instantiation for better code quality.","style: Specify type parameter for HashMap instantiation in TimelineMetricCacheTest
This change explicitly specifies the type parameter for HashMap instantiation in TimelineMetricCacheTest, ensuring type safety and preventing potential ClassCastException at runtime. The modification is located in the testTimelineMetricCachePrecisionUpdates method.","style: Specify type parameter for HashMap in TimelineMetricCacheTest
Removed redundant type declaration in TimelineMetricCacheTest.java","style: Improve code formatting in TimelineMetricCacheTest
This commit updates the code formatting in the TimelineMetricCacheTest class by adding type parameters to the HashMap instantiation, making the code more readable and maintainable.","Refactor: Specify type of HashMap in `testTimelineMetricCachePrecisionUpdates()`In the `testTimelineMetricCachePrecisionUpdates()` method in the `TimelineMetricCacheTest.java` file, the type of the HashMap `valueMap` was specified in its initialization. This change improves the code's internal structure without altering its external behavior._x001B_"
apache/ant,89aa7775a83989345756349f99bd3556780eafee,https://github.com/apache/ant/commit/89aa7775a83989345756349f99bd3556780eafee,"feat: Implement OS family type matching in Os class
Added setFamily method to configure the desired OS family type, and updated the eval method to match the specified type by comparing it with the system's os.name property. This enhancement allows for more precise OS family detection.","feat: Add OS family type setting and matching to Os class
This commit introduces OS family type setting and matching functionality to the Os class, enabling users to specify a desired OS family type (dos, mac, netware, unix, or windows) and evaluate if the current OS matches it via the setFamily and eval methods.","feat: Add OS family type setting and matching to Os class
Introduce setFamily method to configure desired OS family type and eval method to determine OS match. This enhancement enables more flexible OS-based conditionals in Ant tasks.","feat: Add OS family type setter and evaluator
This commit introduces a new setter method to specify the desired OS family type and an evaluator method to determine if the current OS matches the specified type. The setter method converts the input to lowercase, and the evaluator method uses system properties to determine the OS name and path separator.",Feat: Improve documentation in Os.java Added detailed comments to the setFamily and eval methods in the Os.java file. The comments provide information about the functionality of the methods and the expected input for the setFamily method.
apache/ant,5b377d290d4ff3d4557987da9b3c2dd802203cde,https://github.com/apache/ant/commit/5b377d290d4ff3d4557987da9b3c2dd802203cde,"fix: Include exception details in BuildException message
Updated the BuildException message to include the exception's toString() output, providing more detailed information when an execution failure occurs.","fix: Include exception details in BuildException message
This change modifies the `BuildException` constructor in the `runExec` method to include the exception's `toString()` representation, providing more detailed error information when the execution fails.","fix: Include executable error message in BuildException
Update the error message in ExecTask to provide more informative error details when throwing a BuildException.","fix: Improve error message in ExecTask
When an IOException occurs in ExecTask, the error message was not providing enough information. This commit updates the error message to include the exception's toString() output, making it easier to diagnose and fix issues.","Fix: Provide more detailed exception message in `runExec` method In the `runExec` method of `ExecTask.java`, the exception message when the command line process execution fails has been updated to include more information about the exception. This change improves the error handling by providing more context about the exception, which can be helpful for debugging._x001B_[0m"
apache/ant,1a3090627d25c1ede9407003e24d7e76ca48f293,https://github.com/apache/ant/commit/1a3090627d25c1ede9407003e24d7e76ca48f293,"refactor: Cache m_dtdLocations size in a local variable
Reduced redundant computation by storing `m_dtdLocations.size()` in a local variable, making the loop iteration more efficient.","refactor: Cache m_dtdLocations size in a local variable
Avoided redundant method calls by caching m_dtdLocations' size in a local variable, reducing the number of size() method invocations within the loop from O(n) to O(1).","refactor: Cache m_dtdLocations size for efficient iteration
Avoid repeated calls to size() method by storing the size in a local variable.","refactor: Improve iteration over m_dtdLocations
This commit refactors the iteration over m_dtdLocations by introducing a local variable to store the size of the collection, making the code more efficient and easier to read.","Refactor: Optimize loop in XMLValidateTask This commit introduces a minor optimization in the XMLValidateTask class. A new variable 'size' is introduced to hold the size of 'm_dtdLocations', which is then used in the for loop condition. This change improves the structure of the code without altering its functionality._x001B_[0m"
apache/ant,cfa604fd9941bf59641e989306c4356dab156015,https://github.com/apache/ant/commit/cfa604fd9941bf59641e989306c4356dab156015,"fix: Fix emailtaskcal usage in testDateISO
Replaced emailtaskcal with Calendar instance in testDateISO to align with the intended usage, ensuring correct date formatting in ISO 8601 format.","fix: Fix emailtaskcal usage in testDateISO method
Fixed incorrect usage of emailtaskcal in testDateISO method by replacing it with a Calendar instance, ensuring the test correctly formats dates in ISO 8601 format.","fix: Use correct calendar instance in testDateISO method
Updated the testDateISO method to set the date on the correct calendar instance, ensuring accurate date formatting in ISO 8601 format.","refactor: Update testDateISO method to use Calendar instance
Refactored the testDateISO method in DateUtilsTest to correctly set the date using the Calendar instance. This change ensures that the date is formatted correctly in ISO 8601 format.","Fix: Correct object used to set date in testDateISO() method In the 'testDateISO()' method of the 'DateUtilsTest.java' file, the object used to set the calendar date has been corrected from 'emailtaskcal' to 'cal'. This change ensures that the method tests the conversion of a date to an ISO 8601 string correctly._x001B_[0m"
apache/ant,5e099552e5af434568a4294cf7bcebb732cd3bfa,https://github.com/apache/ant/commit/5e099552e5af434568a4294cf7bcebb732cd3bfa,"refactor: Remove unused fields and variables
Removed unused fields 'locale' and 'newline' to declutter the Translate class and eliminate unnecessary variables.","refactor: Simplify Translate class by removing redundant members
Refactored `Translate` class to eliminate redundant members, improving code organization and reducing technical debt.","refactor: Remove unused variables
Removed private Locale locale and StringBuffer newline variables that were not being used in the Translate class.","refactor: Remove unused fields and variables
This commit removes the unused 'locale' field and 'newline' variable from the Translate class, simplifying its internal structure and making it easier to maintain.","Refactor: Remove unused variables in Translate.java In both the 'proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java' and 'proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java' files, the private Locale variable 'locale' and the StringBuffer 'newline' in the 'translate' method have been removed. These variables were not used, and their removal simplifies the code without affecting its functionality._x001B_[0m"
apache/ant,4ffa9e1380956291543b6662e6ebfe89e859ebeb,https://github.com/apache/ant/commit/4ffa9e1380956291543b6662e6ebfe89e859ebeb,"fix: handle null task for ""property"" taskType
Prevents NullPointerException when creating a 'property' task by defining the task type before initialization, ensuring Ant.java initializes the project correctly.","fix: fix: handle null task for 'property' task type creation
Address a specific edge case where Ant.java uses the 'property' task before initializing the project, by adding a task definition for 'property' tasks when they are null, ensuring that task creation succeeds even in this scenario.","fix: Handle null task when creating 'property' task type
Fixes BuildException by adding a task definition for 'property' tasks before creating them","fix: Handle null task for 'property' task type
This commit fixes an issue where a null task was returned when creating a task of type 'property'. A quick fix is implemented to add a task definition for 'property' and recreate the task if it's null. This ensures that the task is properly initialized.","Fix: Handle null task in createTask method In the createTask method of the ComponentHelper class, added a condition to handle a case where the task is null and the taskType equals ""property"". In this case, a new task definition is added and a new task is created. This is a fix for a situation where the ""property"" task is used before the project is initialized._x001B_[0m"
apache/ant,ea0ea86ba268d63b39f8e608a746e4aad1eb1b3c,https://github.com/apache/ant/commit/ea0ea86ba268d63b39f8e608a746e4aad1eb1b3c,"fix: Pass true as third argument to processBundle
Fix incorrect resource map loading order by passing true as the third argument to processBundle, ensuring that more specific locale-based files are loaded first.","fix: Pass true as third argument to processBundle
Fixed incorrect resource loading by passing true as the third argument to processBundle, ensuring that the most specific resource is used when loading locale-specific resource maps.","fix: Process bundle files in correct order in Translate task
Ensure the correct resource is used by loading resource maps for the specified locale and default locale in a specific order of priority.","refactor: Improve processBundle method
Refactor the processBundle method to correctly handle the bundle file by setting the third parameter to true. This change ensures that the correct resource is used when processing bundle files.","Fix: Update resource map loading in Translate.java This commit updates the method loadResourceMaps() in Translate.java to load resource maps for a specific locale and the default locale, processing each bundle file in a specific order. The change enhances the specificity of the resource map loading process._x001B_[0m"
apache/ant,42e30982adb99585237d6b9c9478ca1d647cc074,https://github.com/apache/ant/commit/42e30982adb99585237d6b9c9478ca1d647cc074,"refactor: Protect finalize method
Restricted finalize method access to prevent external calls and ensure it's only invoked by the garbage collector, thus maintaining resource closure.","refactor: Make finalize method protected to ensure resource closure on garbage collection
Made finalize method protected to prevent external calls, ensuring it's only invoked by the garbage collector to release system resources, thus preventing potential resource leaks.","refactor: Make finalize method protected
Ensure resource closure on garbage collection by calling close method in finalize method.","refactor: Improve finalize method in CBZip2OutputStream
Changed the finalize method to be protected and added a call to super.finalize() to ensure proper resource release. This change improves the internal structure of the CBZip2OutputStream class, making it more efficient and easier to maintain.","Refactor: Change visibility of finalize method in CBZip2OutputStream The visibility of the `finalize` method in `CBZip2OutputStream.java` has been changed from `public` to `protected`, and a call to `super.finalize()` has been added. This ensures that the object is properly closed when it's garbage collected._x001B_[0m"
apache/ant,50f9f4ee6f3a436fe05a0360e6e1d09851aba00c,https://github.com/apache/ant/commit/50f9f4ee6f3a436fe05a0360e6e1d09851aba00c,"feat: Update TarRoundTripTest dependencies
Added java.io.ByteArrayInputStream import to support testing of tar round trip functionality in TarRoundTripTest.","style: Add import statement for ByteArrayInputStream
No functional changes; added missing import statement for ByteArrayInputStream to maintain code consistency.","style: Add java.io.ByteArrayInputStream import statement
TarRoundTripTest.java now includes the necessary import for ByteArrayInputStream, ensuring compile-time correctness.","feat: Add import statement for ByteArrayInputStream
This commit adds the necessary import statement for ByteArrayInputStream in TarRoundTripTest.java, ensuring that the class can properly utilize the ByteArrayInputStream functionality.",Feat: Add import statement in TarRoundTripTest.java Added import statement for ByteArrayInputStream in TarRoundTripTest.java.
apache/ant,4177bdb64e339c8ee010ab514d0670cdcee1d963,https://github.com/apache/ant/commit/4177bdb64e339c8ee010ab514d0670cdcee1d963,"fix: Exclude symbolic links from dirsExcluded
Exclude symbolic links from dirsExcluded to prevent incorrect categorization, ensuring accurate file and directory classification.","fix: Correctly categorize symbolic links in FTP directory scan
This commit fixes a bug where symbolic links were incorrectly categorized as directories during FTP directory scans. By updating the scandir method, we ensure that symbolic links are now correctly excluded as files, maintaining the accuracy of our file and directory classification.","fix: Exclude symbolic links correctly in FTP scandir
Changed dirsExcluded to filesExcluded in scandir method to handle symbolic links as files.","fix: Correctly categorize symbolic links in FTP directory scan
Fixed an issue where symbolic links were incorrectly excluded as directories during FTP directory scanning. Now, they are correctly added to the filesExcluded list. This change ensures that symbolic links are properly handled during the scanning process.","Fix: Correct classification of symbolic links in FTP.java In the method 'scandir' of the class 'FTP.java', symbolic links were previously classified as directories and added to 'dirsExcluded'. This commit corrects this misclassification by adding symbolic links to 'filesExcluded' instead. This change ensures that symbolic links are correctly identified and handled."
apache/ant,f26efe57b3dd44192d50ef1af3befe01a03c7bf6,https://github.com/apache/ant/commit/f26efe57b3dd44192d50ef1af3befe01a03c7bf6,"style: Update comment punctuation
Updated comment punctuation to be grammatically correct.","style: Update comment language to English
Updated the comment language in StyleTest.java to English for consistency and readability.","style: Fix typo in comment
Update 'TestCases fuer <style> / <xslt> task.' comment to use correct English spelling.","style: Update comment to use English
This commit updates a comment in StyleTest.java to use English instead of German. The change is minor and does not affect the functionality of the code.",Style: Corrected language in comment Changed the language of a comment in the StyleTest.java file from German to English for better understanding.
