commit,project,Multi-files?,patch,HM,Rationality (0-4),Comprehensiveness (0-4),Conciseness (0-4),Expressiveness (0-4),FIRA,Rationality (0-4).1,Comprehensiveness (0-4).1,Conciseness (0-4).1,Expressiveness (0-4).1,OMG,Rationality (0-4).2,Comprehensiveness (0-4).2,Conciseness (0-4).2,Expressiveness (0-4).2,MAD
e3e91155adb831bb487133b16c7ab78a230a713f,apache/ambari,,"File: ambari-server/src/test/java/org/apache/ambari/server/controller/metrics/timeline/cache/TimelineMetricCacheTest.java
Status: modified
```diff
@@ -419,7 +419,7 @@ public void testTimelineMetricCachePrecisionUpdates() throws Exception {
     long year = 365 * day;
 
     //Original Values
-    Map<String, TimelineMetric> valueMap = new HashMap();
+    Map<String, TimelineMetric> valueMap = new HashMap<String, TimelineMetric>();
     TimelineMetric timelineMetric = new TimelineMetric();
     timelineMetric.setMetricName(""cpu_user"");
     timelineMetric.setAppId(""app1"");
```","Revert ""Fix unnecessary type casting in Test"" This reverts commit f3ab77c.",0,0,4,3,remove unused parameter,0,0,4,4,"Refactor: Specify type of HashMap in `testTimelineMetricCachePrecisionUpdates()`In the `testTimelineMetricCachePrecisionUpdates()` method in the `TimelineMetricCacheTest.java` file, the type of the HashMap `valueMap` was specified in its initialization. This change improves the code's internal structure without altering its external behavior._x001B_",4,4,4,4,"style: Specify type parameter for HashMap instantiation in TimelineMetricCacheTest
This change explicitly specifies the type parameter for HashMap instantiation in TimelineMetricCacheTest, ensuring type safety and preventing potential ClassCastException at runtime. The modification is located in the testTimelineMetricCachePrecisionUpdates method."
89aa7775a83989345756349f99bd3556780eafee,apache/ant,,"File: src/main/org/apache/tools/ant/taskdefs/condition/Os.java
Status: modified
```diff
@@ -65,8 +65,24 @@
 public class Os implements Condition {
     private String family;
 
+    /**
+     * Sets the desired OS family type
+     * 
+     * @param f      The OS family type desired<br />
+     *               Possible values:<br />
+     *               <ul><li>dos</li>
+     *               <li>mac</li>
+     *               <li>netware</li>
+     *               <li>unix</li>
+     *               <li>windows</li></ul>
+     */
     public void setFamily(String f) {family = f.toLowerCase();}
 
+    /**
+     * Determines if the OS on which Ant is executing matches the type of 
+     * that set in setFamily.
+     * @see Os#setFamily(String)
+     */
     public boolean eval() throws BuildException {
         String osName = System.getProperty(""os.name"").toLowerCase();
         String pathSep = System.getProperty(""path.separator"");
```",Added some javadocs for OS condition.,4,4,4,4,add javadoc for Os setFamily,4,4,4,4,Feat: Improve documentation in Os.java Added detailed comments to the setFamily and eval methods in the Os.java file. The comments provide information about the functionality of the methods and the expected input for the setFamily method.,3,4,4,4,"feat: Add OS family type setting and matching to Os class
This commit introduces OS family type setting and matching functionality to the Os class, enabling users to specify a desired OS family type (dos, mac, netware, unix, or windows) and evaluate if the current OS matches it via the setFamily and eval methods."
5b377d290d4ff3d4557987da9b3c2dd802203cde,apache/ant,,"File: src/main/org/apache/tools/ant/taskdefs/ExecTask.java
Status: modified
```diff
@@ -323,7 +323,7 @@ protected void runExec(Execute exe) throws BuildException {
             runExecute(exe);
         } catch (IOException e) {
             if (failIfExecFails) {
-                throw new BuildException(""Execute failed: "",e, location);
+                throw new BuildException(""Execute failed: ""+e.toString(),e, location);
             } else {
                 log(""Execute failed: ""+e.toString(), Project.MSG_ERR);
             }
```",Last weeks changes took away helpful information about why exec failed to run; this puts it back in.,4,3,4,4,improve error message,3,2,4,4,"Fix: Provide more detailed exception message in `runExec` method In the `runExec` method of `ExecTask.java`, the exception message when the command line process execution fails has been updated to include more information about the exception. This change improves the error handling by providing more context about the exception, which can be helpful for debugging._x001B_[0m",4,4,4,4,"fix: Include exception details in BuildException message
This change modifies the `BuildException` constructor in the `runExec` method to include the exception's `toString()` representation, providing more detailed error information when the execution fails."
1a3090627d25c1ede9407003e24d7e76ca48f293,apache/ant,,"File: proposal/myrmidon/src/java/org/apache/antlib/xml/XMLValidateTask.java
Status: modified
```diff
@@ -243,7 +243,8 @@ private EntityResolver buildEntityResolver()
         final LocalResolver resolver = new LocalResolver();
         setupLogger( resolver );
 
-        for( int i = 0; i < m_dtdLocations.size(); i++ )
+        final int size = m_dtdLocations.size();
+        for( int i = 0; i < size; i++ )
         {
             final DTDLocation location = (DTDLocation)m_dtdLocations.get( i );
             resolver.registerDTD( location );
```",Made complex loop counter a simple constant Removing a Audit violation,4,3,3,4,fix a bug in XMLValidateTask,2,0,4,4,"Refactor: Optimize loop in XMLValidateTask This commit introduces a minor optimization in the XMLValidateTask class. A new variable 'size' is introduced to hold the size of 'm_dtdLocations', which is then used in the for loop condition. This change improves the structure of the code without altering its functionality._x001B_[0m",4,4,4,4,"refactor: Cache m_dtdLocations size in a local variable
Avoided redundant method calls by caching m_dtdLocations' size in a local variable, reducing the number of size() method invocations within the loop from O(n) to O(1)."
cfa604fd9941bf59641e989306c4356dab156015,apache/ant,,"File: src/testcases/org/apache/tools/ant/util/DateUtilsTest.java
Status: modified
```diff
@@ -92,7 +92,7 @@ public void testDateTimeISO(){
     public void testDateISO(){
         TimeZone timeZone = TimeZone.getTimeZone(""GMT"");
         Calendar cal = Calendar.getInstance(timeZone);
-        emailtaskcal.set(2002,1,23);
+        cal.set(2002,1,23);
         String text = DateUtils.format(cal.getTime(),
                 DateUtils.ISO8601_DATE_PATTERN);
         assertEquals(""2002-02-23"", text);
```",testcase wouldn't compile - slipping fingers?,3,0,1,2,fix broken test,4,2,4,4,"Fix: Correct object used to set date in testDateISO() method In the 'testDateISO()' method of the 'DateUtilsTest.java' file, the object used to set the calendar date has been corrected from 'emailtaskcal' to 'cal'. This change ensures that the method tests the conversion of a date to an ISO 8601 string correctly._x001B_[0m",4,4,4,4,"fix: Fix emailtaskcal usage in testDateISO method
Fixed incorrect usage of emailtaskcal in testDateISO method by replacing it with a Calendar instance, ensuring the test correctly formats dates in ISO 8601 format."
5e099552e5af434568a4294cf7bcebb732cd3bfa,apache/ant,Y,"File: proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java
Status: modified
```diff
@@ -86,10 +86,7 @@ public class Translate
      * Create new destination file? Defaults to false.
      */
     private boolean forceOverwrite;
-    /**
-     * Generated locale based on user attributes
-     */
-    private Locale locale;
+
     /**
      * Source file encoding scheme
      */
@@ -564,7 +561,6 @@ private void translate()
                         String line;
                         while( ( line = in.readLine() ) != null )
                         {
-                            StringBuffer newline = new StringBuffer( line );
                             int startIndex = -1;
                             int endIndex = -1;
                             outer :
```


File: proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java
Status: modified
```diff
@@ -86,10 +86,7 @@ public class Translate
      * Create new destination file? Defaults to false.
      */
     private boolean forceOverwrite;
-    /**
-     * Generated locale based on user attributes
-     */
-    private Locale locale;
+
     /**
      * Source file encoding scheme
      */
@@ -564,7 +561,6 @@ private void translate()
                         String line;
                         while( ( line = in.readLine() ) != null )
                         {
-                            StringBuffer newline = new StringBuffer( line );
                             int startIndex = -1;
                             int endIndex = -1;
                             outer :
```",Delete some unused variables,4,3,4,4,remove unused field,4,3,4,4,"Refactor: Remove unused variables in Translate.java In both the 'proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java' and 'proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java' files, the private Locale variable 'locale' and the StringBuffer 'newline' in the 'translate' method have been removed. These variables were not used, and their removal simplifies the code without affecting its functionality._x001B_[0m",4,4,4,4,"refactor: Simplify Translate class by removing redundant members
Refactored `Translate` class to eliminate redundant members, improving code organization and reducing technical debt."
4ffa9e1380956291543b6662e6ebfe89e859ebeb,apache/ant,,"File: src/main/org/apache/tools/ant/ComponentHelper.java
Status: modified
```diff
@@ -434,7 +434,15 @@ public Hashtable getAntTypeTable() {
      */
     public Task createTask(String taskType) throws BuildException {
         Task task=createNewTask(taskType);
-        if(task!=null) {
+        if (task == null && taskType.equals(""property"")) {
+            // quick fix for Ant.java use of property before
+            // initializeing the project
+            addTaskDefinition(""property"",
+                              org.apache.tools.ant.taskdefs.Property.class);
+            task = createNewTask(taskType);
+        }
+            
+        if (task != null) {
             addCreatedTask(taskType, task);
         }
         return task;
```",quick fix for Ant.java use of property in Ant#reinit,1,4,4,2,fix a bug in ComponentHelper,2,2,4,4,"Fix: Handle null task in createTask method In the createTask method of the ComponentHelper class, added a condition to handle a case where the task is null and the taskType equals ""property"". In this case, a new task definition is added and a new task is created. This is a fix for a situation where the ""property"" task is used before the project is initialized._x001B_[0m",4,4,4,4,"fix: fix: handle null task for 'property' task type creation
Address a specific edge case where Ant.java uses the 'property' task before initializing the project, by adding a task definition for 'property' tasks when they are null, ensuring that task creation succeeds even in this scenario."
ea0ea86ba268d63b39f8e608a746e4aad1eb1b3c,apache/ant,,"File: src/main/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java
Status: modified
```diff
@@ -372,7 +372,7 @@ private void loadResourceMaps() throws BuildException {
         processBundle(bundleFile, 5, false);
 
         bundleFile = bundle + language;
-        processBundle(bundleFile, 6, false);
+        processBundle(bundleFile, 6, true);
     }
 
     /**
```",cancel previous change,0,0,1,4,fix a bug in the Translate,2,2,4,4,"Fix: Update resource map loading in Translate.java This commit updates the method loadResourceMaps() in Translate.java to load resource maps for a specific locale and the default locale, processing each bundle file in a specific order. The change enhances the specificity of the resource map loading process._x001B_[0m",2,4,4,4,"fix: Pass true as third argument to processBundle
Fixed incorrect resource loading by passing true as the third argument to processBundle, ensuring that the most specific resource is used when loading locale-specific resource maps."
42e30982adb99585237d6b9c9478ca1d647cc074,apache/ant,,"File: src/main/org/apache/tools/bzip2/CBZip2OutputStream.java
Status: modified
```diff
@@ -411,8 +411,9 @@ private void writeRun() throws IOException {
 
     boolean closed = false;
 
-    public void finalize() throws Throwable {
+    protected void finalize() throws Throwable {
         close();
+        super.finalize();
     }
 
     public void close() throws IOException {
```",Fix incorrect finalize override,3,4,4,4,make finalize public,0,0,4,4,"Refactor: Change visibility of finalize method in CBZip2OutputStream The visibility of the `finalize` method in `CBZip2OutputStream.java` has been changed from `public` to `protected`, and a call to `super.finalize()` has been added. This ensures that the object is properly closed when it's garbage collected._x001B_[0m",4,4,4,4,"refactor: Make finalize method protected to ensure resource closure on garbage collection
Made finalize method protected to prevent external calls, ensuring it's only invoked by the garbage collector to release system resources, thus preventing potential resource leaks."
50f9f4ee6f3a436fe05a0360e6e1d09851aba00c,apache/ant,,"File: src/testcases/org/apache/tools/tar/TarRoundTripTest.java
Status: modified
```diff
@@ -54,6 +54,7 @@
 package org.apache.tools.tar;
 
 import java.io.IOException;
+import java.io.ByteArrayInputStream;
 import java.io.ByteArrayOutputStream;
 import junit.framework.TestCase;
 
```",Add missing import,4,4,4,4,add missing import,4,4,4,4,Feat: Add import statement in TarRoundTripTest.java Added import statement for ByteArrayInputStream in TarRoundTripTest.java.,3,4,4,4,"style: Add import statement for ByteArrayInputStream
No functional changes; added missing import statement for ByteArrayInputStream to maintain code consistency."
