project,commit,OMG,AMG-DIFF-SUM,AMG,MAD,MAD_duration,Rounds,Total Tokens
apache/directory-server,9cbf06fcae73d281aa4804e574335d12fd0764ec,"Refactor: Use addNormalized in getFarthestReferralAncestor method In the `getFarthestReferralAncestor` method of the `ReferralLut` class, replaced the `add` method with the `addNormalized` method. This is an internal change that does not alter the functionality of the method.","refactor: Normalize RDNs in ReferralLut
This commit refactors the ReferralLut class to ensure that Relative Distinguished Names (RDNs) added to the farthest collection are normalized. This change is necessary for correct processing and comparison of referral data. The add method has been replaced with addNormalized to achieve this normalization.","Refactor: improve referral ancestor lookup
refactor the getfarthestreferralancestor method to use addnormalized instead of add, ensuring correct referral handling in ldap referral scenarios.","refactor: Normalize RDNs in farthest collection on addition
This commit refactors the `getFarthestReferralAncestor` method in `ReferralLut` to ensure that Relative Distinguished Names (RDNs) added to the `farthest` collection are normalized. This change is necessary to guarantee correct processing and comparison of referral data. The modification replaces the `add` method with `addNormalized`, which enforces RDN normalization and prevents potential issues arising from non-normalized RDNs.",118.08007669448853,1.0,6900.0
apache/ant,89aa7775a83989345756349f99bd3556780eafee,Feat: Improve documentation in Os.java Added detailed comments to the setFamily and eval methods in the Os.java file. The comments provide information about the functionality of the methods and the expected input for the setFamily method.,"style: Improve Os class documentation with Javadoc comments
Added Javadoc comments to the setFamily and eval methods in the Os class to provide clear documentation on their purpose, parameters, and behavior. This change enhances the readability and understanding of the class, making it easier for developers to use and maintain.","Feat: add os family type setter and evaluator
this commit introduces a new setter method to specify the desired os family type and an evaluator method to determine if the current os matches the specified type. the setter method converts the input to lowercase, and the evaluator method uses system properties to determine the os name and path separator.","style: Document Os class methods with Javadoc comments
Improved documentation of Os class by adding Javadoc comments to setFamily and eval methods, providing clear explanations of their purposes, parameters, and relationships, without altering their implementations or introducing other changes to the class.",97.52490997314452,1.0,5890.0
apache/wicket,526bb16ab2f8b770a052fc93069b8b38a1d6c1f5,Style: Update comment in nextTag() method The comment in the `nextTag()` method of `WicketTagIdentifier.java` has been updated for clarity. The method retrieves the next XML tag from the markup and converts it into a WicketTag if it belongs to the Wicket namespace. The updated comment better reflects this functionality.,"style: Remove redundant package prefix from comment
Minor adjustment to the comment in WicketTagIdentifier.java to make it more concise by removing the package prefix 'org.apache.' from the comment. This change does not affect the functionality of the code.","Refactor: simplify wickettagidentifier
refactor the wickettagidentifier class to use 'wicket component' instead of 'org.apache.wicket component', making the code more concise and easier to understand. this change does not affect the functionality of the class.","style: Remove package prefix from comment in WicketTagIdentifier.java
This commit refactors the comment in WicketTagIdentifier.java to improve code readability by removing the redundant package prefix 'org.apache.'. The modification is purely cosmetic, and the functionality of the nextTag() method and the WicketTagIdentifier class remains unchanged.",104.78264141082764,1.0,6793.0
apache/usergrid,8814a144b66054048be96a1c892fd750ee327327,"Refactor: Improve handling of AsyncEvents in AsyncEventServiceImpl This commit refactors the AsyncEventServiceImpl class to improve the handling of different types of AsyncEvents in the queue system. The changes are mainly in the condition of an if statement in the callEventHandlers method, which processes a list of messages from a queue. Each message is expected to contain an AsyncEvent. The changes ensure that the method handles different types of AsyncEvents more effectively. There are no associated issues or pull requests.","refactor: Improve event handling logic in AsyncEventServiceImpl
Refactored the event handling logic in AsyncEventServiceImpl to add additional conditions to the if statement. The updated code now checks if the event is not an instance of ElasticsearchIndexEvent or InitializeApplicationIndexEvent before logging a warning message when single.isEmpty() is true. This change improves the handling of different event types and reduces unnecessary warning messages.","Refactor: improve event handling logic in asynceventserviceimpl
refactored the calleventhandlers method to add additional checks for specific event types before logging a warning when no index operation messages are returned. this change improves the robustness and accuracy of event handling in the asynceventserviceimpl class.","refactor: Refine logging condition in AsyncEventServiceImpl
This commit refactors the logging condition in AsyncEventServiceImpl to include additional event type checks, ensuring that warnings are only logged when single.isEmpty() is true and the event is not an instance of ElasticsearchIndexEvent or InitializeApplicationIndexEvent. This change enhances the logging logic by introducing more specific conditions, thereby reducing unnecessary warnings. The commit also updates the warning message format to include a colon after 'msg' for better readability.",116.00792455673218,1.0,7574.0
apache/archiva,6987e689ecc1c522d53cb661fa7842284807f471,"Refactor: Remove logging statement from processSnapshots method The logging statement ""Processing snapshots."" has been removed from the processSnapshots method in the DefaultRepositoryBrowsing class. This change is part of a refactoring effort to improve the code quality.","refactor: Remove unnecessary log statement
Removed a log statement that printed 'Processing snapshots.' to the log at the INFO level in the DefaultRepositoryBrowsing class. This change simplifies the code and reduces unnecessary logging.","Refactor: remove unnecessary log statement
removed an unnecessary log statement in defaultrepositorybrowsing class, which was logging 'processing snapshots.' without any functional impact. this change simplifies the code and makes it easier to maintain.","refactor: Remove unnecessary logging
Removed unnecessary logging statement 'Processing snapshots.' which was not providing any valuable information. This refactoring simplifies the code, reduces logging noise, and aligns with the updated class functionality of providing repository browsing for artifacts and projects.",91.17304253578186,1.0,5055.0
apache/directory-server,b5546be3333d7a261e6db37ab6e36f34193cffbb,Refactor: Update package name of AddIT.java and import in MigratedStockCoreISuite.java The package name of the AddIT.java file has been refactored from 'org.apache.directory.server.core.jndi' to 'org.apache.directory.server.core.operations.add'. The import statement in the MigratedStockCoreISuite.java file has been updated to reflect this change. This refactoring improves the structure of the code without changing its behavior.,"refactor: Rename AddIT.java to new package
This commit renames the AddIT.java file from the org.apache.directory.server.core.jndi package to org.apache.directory.server.core.operations.add. The corresponding package declaration and import statements have been updated accordingly. This change is a part of the internal structure refactoring to improve the organization and maintainability of the codebase.","Refactor: rename addit.java to new package
rename addit.java from org/apache/directory/server/core/jndi to org/apache/directory/server/core/operations/add and update its import statement in migratedstockcoreisuite.java to reflect the new package location.","refactor: Relocate AddIT.java and update dependencies
Refactored the directory structure by relocating AddIT.java to core/operations/add, and updated the corresponding package declaration and import statements in dependent files, such as MigratedStockCoreISuite.java, to ensure consistency and maintainability of the codebase.",103.51172423362732,1.0,6220.0
apache/lenya,f3c5e70e7f9cdc18ac0dcef205bc5fcacdee2bf7,"Refactor: Simplify the existence check in getLocator method The `getLocator` method in the `DocumentLocator` class has been refactored. The old code first checked if a key exists in the `locators` map and then retrieved the value associated with the key. The new code directly retrieves the value associated with the key and then checks if the retrieved value is null. This change simplifies the code and improves its readability. The functionality of the method remains the same: it returns a `DocumentLocator` for the given parameters. If a `DocumentLocator` for these parameters does not exist, a new one is created, stored, and then returned.","refactor: Simplify DocumentLocator getLocator method
Refactored the getLocator method in DocumentLocator to reduce unnecessary null checks and assignments, making the code more concise and efficient. The logic of the method remains the same, but the changes improve the overall readability and maintainability of the code.","Refactor: simplify getlocator method
the getlocator method has been refactored to reduce unnecessary null checks and improve code readability. the method's functionality remains the same, but the implementation is now more concise and efficient.","refactor: Simplify getLocator method logic
Simplified the getLocator method's logic by inverting the null check and removing the unnecessary else clause. This refactoring reduces code complexity, making it easier to understand and maintain, while preserving the original functionality of caching DocumentLocator instances based on provided parameters. The changes ensure that the locator variable is initialized with the cache result, eliminating the need for unnecessary null checks.",120.80300664901732,1.0,7860.0
apache/poi,3234ce48d57222043d1fb8aec33d81315a5f30d9,Feat: Add new test method in TestFormulaParser A new test method `testFormulaWithString` has been added to the `TestFormulaParser` class. This method tests the formula parsing functionality with a string input.,"feat: Add test for parsing formula with string concatenation
This commit introduces a new test method, testFormulaWithString, to the TestFormulaParser class. The method tests the FormulaParser class with a formula that concatenates two strings using the ampersand (&) operator. The test verifies that the resulting RPN tokens array has a length of 3. This addition enhances the test coverage of the FormulaParser class, ensuring its correct behavior with string concatenation operations.","Feat: add test for parsing formula with string concatenation
this commit introduces a new unit test, testformulawithstring, to cover the parsing of formulas that concatenate two strings using the ampersand (&) operator. this test ensures the formulaparser class correctly handles string concatenation operations.","feat: Introduce testFormulaWithString method in TestFormulaParser
This commit adds a new test case to the `TestFormulaParser` class, specifically covering the parsing of formulas with string concatenation using the ampersand (&) operator. The `testFormulaWithString()` method ensures the `FormulaParser` class correctly handles such scenarios.",116.52449560165404,1.0,6694.0
apache/cxf,260efe56fc1bfc89950d1eda89114feb287490cd,Refactor: Enhance getApplicationCertificates method in Client class The getApplicationCertificates method in the Client class has been refactored to return a list of application certificates that are eagerly fetched and ordered as per their insertion in the database. The @Lob annotation has been added to indicate that the application certificates are stored as a large object in the database.,"refactor: Add @Lob annotation to applicationCertificates field
This commit refactors the Client class to support storing large objects in the database. Specifically, the @Lob annotation is added to the applicationCertificates field, which is a collection of strings fetched eagerly and stored as a large object (LOB) in the database. This change enables the efficient storage and retrieval of large objects. Additionally, minor formatting changes are made to the code, including the removal of a blank line and the addition of an import statement for javax.persistence.Lob.","Refactor: update getapplicationcertificates to store certificates as lobs
this commit refactors the getapplicationcertificates method to store application certificates as large objects (lobs) in the database, with eager fetching and ordering. this change improves the storage and retrieval of certificates associated with an application, likely for authentication or authorization purposes.","feat: Update Client class to support LOB storage for application certificates
This commit updates the Client class to support Large Object (LOB) storage for application certificates, enhancing the OAuth2 system's ability to handle large certificate data. The changes include adding the @Lob annotation to the getApplicationCertificates() method, importing the necessary javax.persistence.Lob package, and removing an unnecessary blank line. These modifications enable efficient storage and retrieval of application certificates, improving the overall system's performance and scalability.",118.25672030448914,1.0,7166.0
apache/wicket,9fb30084cbc737ec035ed0e76a425612db462b47,Style: Update comments in BookmarkableMapper.java Updated the comments in the `BookmarkableMapper.java` file to use a shorter form of the class name. This change improves the readability of the code and makes it easier to understand.,"style: Update Javadoc comments to use shorter class references
This commit updates the Javadoc comments in the BookmarkableMapper class to use shorter references to the superclass, AbstractBookmarkableMapper. The changes are purely cosmetic and do not affect the functionality of the code. The updated comments improve the readability and conciseness of the Javadoc.","Refactor: simplify javadoc references
removed redundant package names from javadoc references in bookmarkablemapper, making the code more concise and easier to read.","style: Update Javadoc @see tags to use simple class names
This commit updates the Javadoc comments in BookmarkableMapper.java to use simple class names in @see tags, replacing fully qualified names. This change improves code readability and consistency in documentation without affecting the functionality of the BookmarkableMapper class.",100.70235562324524,1.0,6013.0
