commit_url,commit,project,Multi-files?,patch,HM,Rationality (0-4),Comprehensiveness (0-4),Conciseness (0-4),Expressiveness (0-4),FIRA,Rationality (0-4).1,Comprehensiveness (0-4).1,Conciseness (0-4).1,Expressiveness (0-4).1,CMG,Rationality (0-4).2,Comprehensiveness (0-4).2,Conciseness (0-4).2,Expressiveness (0-4).2,AMG,BLEU,ROUGEL,METEOR,BLEURT,MAD,MAD_CMG_BLEU,MAD_CMG_ROUGEL,MAD_CMG_METEOR,MAD_CMG_BLEURT
https://github.com/apache/directory-server/commit/9cbf06fcae73d281aa4804e574335d12fd0764ec,9cbf06fcae73d281aa4804e574335d12fd0764ec,apache/directory-server,,"File: core/src/main/java/org/apache/directory/server/core/referral/ReferralLut.java
Status: modified
```diff
@@ -99,7 +99,7 @@ public LdapDN getFarthestReferralAncestor( LdapDN dn )
         
         for ( int ii = 0; ii < dn.size(); ii++ )
         {
-            farthest.add( dn.getRdn( ii ) );
+            farthest.addNormalized( dn.getRdn( ii ) );
 
             // do not return dn if it is the farthest referral
             if ( isReferral( farthest ) && ( farthest.size() != dn.size() ) )
```","Call the addNormalized(RDN) method which is much faster than the add(RDN), as the RDN is not normalized again. ",4,4,4,4,fix failing tests,0,0,4,4,"Refactor: Use addNormalized in getFarthestReferralAncestor method In the `getFarthestReferralAncestor` method of the `ReferralLut` class, replaced the `add` method with the `addNormalized` method. This is an internal change that does not alter the functionality of the method.",4,3,4,4,"Refactor: improve referral ancestor lookup
refactor the getfarthestreferralancestor method to use addnormalized instead of add, ensuring correct referral handling in ldap referral scenarios.",7.1,20.69,13.7,0.0,"refactor: Improve getFarthestReferralAncestor method in ReferralLut
Changed the getFarthestReferralAncestor method in ReferralLut class to improve performance or accuracy. Replaced the line `farthest.add( dn.getRdn( ii ) );` with `farthest.addNormalized( dn.getRdn( ii ) );`. This change affects the way the `farthest` variable is updated in the method. The functionality of the `getFarthestReferralAncestor` method and the `ReferralLut` class remains the same before and after the change. The `getFarthestReferralAncestor` method is used in LDAP referral handling and returns the farthest ancestor of the given DN that is a referral, or null if no such ancestor exists.",9.25,33.07,41.02,0.0
https://github.com/apache/ant/commit/89aa7775a83989345756349f99bd3556780eafee,89aa7775a83989345756349f99bd3556780eafee,apache/ant,,"File: src/main/org/apache/tools/ant/taskdefs/condition/Os.java
Status: modified
```diff
@@ -65,8 +65,24 @@
 public class Os implements Condition {
     private String family;
 
+    /**
+     * Sets the desired OS family type
+     * 
+     * @param f      The OS family type desired<br />
+     *               Possible values:<br />
+     *               <ul><li>dos</li>
+     *               <li>mac</li>
+     *               <li>netware</li>
+     *               <li>unix</li>
+     *               <li>windows</li></ul>
+     */
     public void setFamily(String f) {family = f.toLowerCase();}
 
+    /**
+     * Determines if the OS on which Ant is executing matches the type of 
+     * that set in setFamily.
+     * @see Os#setFamily(String)
+     */
     public boolean eval() throws BuildException {
         String osName = System.getProperty(""os.name"").toLowerCase();
         String pathSep = System.getProperty(""path.separator"");
```",Added some javadocs for OS condition.,4,4,4,4,add javadoc for Os setFamily,4,4,4,4,Feat: Improve documentation in Os.java Added detailed comments to the setFamily and eval methods in the Os.java file. The comments provide information about the functionality of the methods and the expected input for the setFamily method.,3,4,4,4,"Feat: add os family type setter and evaluator
this commit introduces a new setter method to specify the desired os family type and an evaluator method to determine if the current os matches the specified type. the setter method converts the input to lowercase, and the evaluator method uses system properties to determine the os name and path separator.",4.9,27.08,22.39,0.0,"style: Improve code documentation and clarity in Os.java
Added comments to `setFamily(String f)` and `eval()` methods in Os.java to provide additional documentation and clarity, ultimately enhancing the overall quality and maintainability of the code. The comments explain the functionality of the `setFamily(String f)` method, listing possible OS family types, and the `eval()` method, which determines if the OS on which Ant is executing matches the type set in `setFamily(String)`. These changes improve the readability and maintainability of the code.",13.18,35.59,30.73,0.0
https://github.com/apache/wicket/commit/526bb16ab2f8b770a052fc93069b8b38a1d6c1f5,526bb16ab2f8b770a052fc93069b8b38a1d6c1f5,apache/wicket,,"File: jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/parser/filter/WicketTagIdentifier.java
Status: modified
```diff
@@ -122,8 +122,7 @@ public MarkupElement nextTag() throws ParseException
 						""The wicket:id attribute value must not be empty. May be unmatched quotes?!?"",
 						tag.getPos());
 			}
-			// Make it a org.apache.wicket component. Otherwise it would be
-			// RawMarkup
+			// Make it a wicket component. Otherwise it would be RawMarkup
 			tag.setId(value);
 		}
 
```","who thought it was a good idea to do ""wicket""->""org.apache.wicket"" ????",0,0,4,4,remove unnecessary code,0,0,4,4,Style: Update comment in nextTag() method The comment in the `nextTag()` method of `WicketTagIdentifier.java` has been updated for clarity. The method retrieves the next XML tag from the markup and converts it into a WicketTag if it belongs to the Wicket namespace. The updated comment better reflects this functionality.,4,4,2,4,"Refactor: simplify wickettagidentifier
refactor the wickettagidentifier class to use 'wicket component' instead of 'org.apache.wicket component', making the code more concise and easier to understand. this change does not affect the functionality of the class.",3.54,16.47,11.93,0.0,"refactor: Modify WicketTagIdentifier to handle Wicket namespace tags and attributes, unclear motivation
The commit has modified the file `WicketTagIdentifier.java`, specifically changing the method `nextTag()` at lines 122-125. The change involves removing two lines of code and adding one line of code, affecting the way the `nextTag()` method handles Wicket namespace tags and attributes. Unfortunately, due to the lack of associated issue reports or pull requests, the exact reason or motivation behind this change remains unknown.",6.49,19.2,26.19,0.0
https://github.com/apache/usergrid/commit/8814a144b66054048be96a1c892fd750ee327327,8814a144b66054048be96a1c892fd750ee327327,apache/usergrid,,"File: stack/core/src/main/java/org/apache/usergrid/corepersistence/asyncevents/AsyncEventServiceImpl.java
Status: modified
```diff
@@ -355,9 +355,12 @@ else if (event instanceof ElasticsearchIndexEvent) {
                     throw new Exception(""Unknown EventType for message: ""+ message.getStringBody().trim());
                 }
 
-                if( single.isEmpty() ){
-                    logger.warn(""No index operation messages came back from event processing for msg {} "",
-                        message.getStringBody().trim());
+
+                if( !(event instanceof ElasticsearchIndexEvent)
+                    && !(event instanceof InitializeApplicationIndexEvent)
+                      && single.isEmpty() ){
+                        logger.warn(""No index operation messages came back from event processing for msg: {} "",
+                            message.getStringBody().trim());
                 }
 
 
```",Fix logging statement.,4,3,4,4,throw an exception if there are no message,0,0,4,4,"Refactor: Improve handling of AsyncEvents in AsyncEventServiceImpl This commit refactors the AsyncEventServiceImpl class to improve the handling of different types of AsyncEvents in the queue system. The changes are mainly in the condition of an if statement in the callEventHandlers method, which processes a list of messages from a queue. Each message is expected to contain an AsyncEvent. The changes ensure that the method handles different types of AsyncEvents more effectively. There are no associated issues or pull requests.",4,4,4,4,"Refactor: improve event handling logic in asynceventserviceimpl
refactored the calleventhandlers method to add additional checks for specific event types before logging a warning when no index operation messages are returned. this change improves the robustness and accuracy of event handling in the asynceventserviceimpl class.",4.48,19.67,20.33,0.0,"fix: Improve handling of specific event types in AsyncEventServiceImpl
This commit modifies the `callEventHandlers` method in `AsyncEventServiceImpl.java` to improve the handling of specific event types, such as `ElasticsearchIndexEvent` and `InitializeApplicationIndexEvent`. The changes include adding additional checks for these event types and updating the warning message. The functionality of the method remains the same, but the modifications ensure that the method behaves correctly for these specific event types. The changes are limited to the conditional statement and the warning message, and do not affect the overall functionality of the method or the class.",14.8,31.58,30.79,0.0
https://github.com/apache/archiva/commit/6987e689ecc1c522d53cb661fa7842284807f471,6987e689ecc1c522d53cb661fa7842284807f471,apache/archiva,,"File: archiva-modules/archiva-database/src/main/java/org/apache/maven/archiva/database/browsing/DefaultRepositoryBrowsing.java
Status: modified
```diff
@@ -212,8 +212,6 @@ private void processSnapshots( List<String> versions )
     {
         Map<String, String> snapshots = new HashMap<String, String>();
 
-        log.info( ""Processing snapshots."" );
-
         for ( String version : versions )
         {
             if ( VersionUtil.isSnapshot( version ) )
```",Remove useless logging,4,4,4,4,remove debug logging,4,4,4,4,"Refactor: Remove logging statement from processSnapshots method The logging statement ""Processing snapshots."" has been removed from the processSnapshots method in the DefaultRepositoryBrowsing class. This change is part of a refactoring effort to improve the code quality.",3,4,4,4,"Refactor: remove unnecessary log statement
removed an unnecessary log statement in defaultrepositorybrowsing class, which was logging 'processing snapshots.' without any functional impact. this change simplifies the code and makes it easier to maintain.",11.79,29.41,43.02,0.0,"refactor: Remove unnecessary logging information
Removed two lines of code, including the logging information, from DefaultRepositoryBrowsing.java to make the code more concise and efficient. This change is likely part of a larger code optimization or refactoring effort, aiming to improve the overall maintainability and performance of the system.",14.66,42.86,46.28,0.0
https://github.com/apache/directory-server/commit/b5546be3333d7a261e6db37ab6e36f34193cffbb,b5546be3333d7a261e6db37ab6e36f34193cffbb,apache/directory-server,Y,"File: core-integ/src/test/java/org/apache/directory/server/core/operations/add/AddIT.java
Status: renamed
```diff
@@ -17,7 +17,7 @@
  *  under the License.
  *
  */
-package org.apache.directory.server.core.jndi;
+package org.apache.directory.server.core.operations.add;
 
 
 import static org.apache.directory.server.core.integ.IntegrationUtils.getAdminConnection;
```


File: core-integ/src/test/java/org/apache/directory/server/core/suites/MigratedStockCoreISuite.java
Status: modified
```diff
@@ -39,7 +39,7 @@
 import org.apache.directory.server.core.event.EventServiceIT;
 import org.apache.directory.server.core.exception.ExceptionServiceIT;
 import org.apache.directory.server.core.integ.FrameworkSuite;
-import org.apache.directory.server.core.jndi.AddIT;
+import org.apache.directory.server.core.operations.add.AddIT;
 import org.apache.directory.server.core.operations.add.PasswordHashingInterceptorTest;
 import org.apache.directory.server.core.operations.move.MoveIT;
 import org.junit.runner.RunWith;
```",Moved the AddIT test to the operations package,4,4,4,4,move 😅 to the correct package,3,0,3,1,Refactor: Update package name of AddIT.java and import in MigratedStockCoreISuite.java The package name of the AddIT.java file has been refactored from 'org.apache.directory.server.core.jndi' to 'org.apache.directory.server.core.operations.add'. The import statement in the MigratedStockCoreISuite.java file has been updated to reflect this change. This refactoring improves the structure of the code without changing its behavior.,4,4,4,4,"Refactor: rename addit.java to new package
rename addit.java from org/apache/directory/server/core/jndi to org/apache/directory/server/core/operations/add and update its import statement in migratedstockcoreisuite.java to reflect the new package location.",4.6,32.61,24.41,0.0,"refactor: Rename AddIT.java and update package declaration and import statements
Renamed AddIT.java from org/apache/directory/server/core/jndi to org/apache/directory/server/core/operations/add. Updated package declaration in AddIT.java to match the new package location. Updated import statement in MigratedStockCoreISuite.java to reflect the new package location of AddIT.java. No changes to any method bodies or class bodies.",13.41,33.9,31.16,0.0
https://github.com/apache/lenya/commit/f3c5e70e7f9cdc18ac0dcef205bc5fcacdee2bf7,f3c5e70e7f9cdc18ac0dcef205bc5fcacdee2bf7,apache/lenya,,"File: src/java/org/apache/lenya/cms/publication/DocumentLocator.java
Status: modified
```diff
@@ -38,10 +38,8 @@ public class DocumentLocator {
      */
     public static DocumentLocator getLocator(String pubId, String area, String path, String language) {
         String key = DocumentLocator.getKey(pubId, area, path, language);
-        DocumentLocator locator = null;
-        if (locators.containsKey(key)) {
-            locator = (DocumentLocator) locators.get(key);
-        } else {
+        DocumentLocator locator = (DocumentLocator) locators.get(key);
+        if (locator == null) {
             locator = new DocumentLocator(pubId, area, path, language);
             locators.put(key, locator);
         }
```",Avoid returning null-value DocumentLocator objects,1,4,4,4,fix quality flaw,0,0,4,4,"Refactor: Simplify the existence check in getLocator method The `getLocator` method in the `DocumentLocator` class has been refactored. The old code first checked if a key exists in the `locators` map and then retrieved the value associated with the key. The new code directly retrieves the value associated with the key and then checks if the retrieved value is null. This change simplifies the code and improves its readability. The functionality of the method remains the same: it returns a `DocumentLocator` for the given parameters. If a `DocumentLocator` for these parameters does not exist, a new one is created, stored, and then returned.",4,4,4,4,"Refactor: simplify getlocator method
the getlocator method has been refactored to reduce unnecessary null checks and improve code readability. the method's functionality remains the same, but the implementation is now more concise and efficient.",1.9,27.94,19.21,0.0,"refactor: Simplify getLocator method in DocumentLocator
Refactored the getLocator method in DocumentLocator.java to simplify the logic for retrieving a DocumentLocator instance from the cache. Removed 4 lines of code and added 2 new lines to directly retrieve the locator from the cache, creating a new instance if it doesn't exist. This change aims to improve performance, reduce complexity, and enhance code readability and maintainability. The motivation behind this change is to streamline the process of getting a DocumentLocator instance, making the code easier to understand and modify in the future.",8.13,29.02,26.9,0.0
https://github.com/apache/poi/commit/3234ce48d57222043d1fb8aec33d81315a5f30d9,3234ce48d57222043d1fb8aec33d81315a5f30d9,apache/poi,,"File: src/testcases/org/apache/poi/hssf/record/formula/TestFormulaParser.java
Status: modified
```diff
@@ -54,6 +54,16 @@ public void testFormulaWithSpaceNRef() {
         assertTrue(""two tokens expected, got ""+ptgs.length,ptgs.length == 2);
     }
     
+    public void testFormulaWithString() {
+        Ptg[] ptgs;
+        FormulaParser fp;
+        fp = new FormulaParser(""\""hello\"" & \""world\"" ;"");
+        fp.parse();
+        ptgs = fp.getRPNPtg();
+        assertTrue(""three token expected, got "" + ptgs.length, ptgs.length == 3);
+    }
+
+    
      public static void main(String [] args) {
         System.out.println(""Testing org.apache.poi.hssf.record.formula.FormulaParser"");
         junit.textui.TestRunner.run(TestFormulaParser.class);
```",test for parsing strings,4,4,4,4,add TestFormulaParser testFormulaWithString,4,4,4,4,Feat: Add new test method in TestFormulaParser A new test method `testFormulaWithString` has been added to the `TestFormulaParser` class. This method tests the formula parsing functionality with a string input.,4,4,4,4,"Feat: add test for parsing formula with string concatenation
this commit introduces a new unit test, testformulawithstring, to cover the parsing of formulas that concatenate two strings using the ampersand (&) operator. this test ensures the formulaparser class correctly handles string concatenation operations.",6.95,33.8,38.4,0.0,"feat: Add unit test for parsing formula with string concatenation
Added a new method `testFormulaWithString()` to the `TestFormulaParser.java` file. This method tests the parsing of a formula with a string concatenation operation. The method creates a `FormulaParser` object, parses the formula `""hello"" & ""world"" ;`, and then asserts that the resulting RPN Ptg array has a length of 3. The method consists of six added lines, which include the method declaration, creation of a `FormulaParser` object, parsing of the formula, and assertion of the resulting RPN Ptg array length. This commit is a proactive measure to improve the testing framework, ensuring that the code is robust and reliable. The addition of this unit test enhances the overall testing coverage of the system.",6.98,24.0,32.62,0.0
https://github.com/apache/cxf/commit/260efe56fc1bfc89950d1eda89114feb287490cd,260efe56fc1bfc89950d1eda89114feb287490cd,apache/cxf,,"File: rt/rs/security/oauth-parent/oauth2/src/main/java/org/apache/cxf/rs/security/oauth2/common/Client.java
Status: modified
```diff
@@ -28,6 +28,7 @@
 import javax.persistence.Entity;
 import javax.persistence.FetchType;
 import javax.persistence.Id;
+import javax.persistence.Lob;
 import javax.persistence.ManyToOne;
 import javax.persistence.MapKeyColumn;
 import javax.persistence.OneToOne;
@@ -66,7 +67,7 @@ public class Client implements Serializable {
     private String homeRealm;
     private boolean registeredDynamically;
     private String tokenEndpointAuthMethod;
-    
+
     public Client() {
 
     }
@@ -346,6 +347,7 @@ public void setRegisteredAudiences(List<String> registeredAudiences) {
 
     @ElementCollection(fetch = FetchType.EAGER)
     @OrderColumn
+    @Lob
     public List<String> getApplicationCertificates() {
         return applicationCertificates;
     }
```",Add @lob annotation for application certificates,4,3,4,4,fix exception message,0,0,4,4,Refactor: Enhance getApplicationCertificates method in Client class The getApplicationCertificates method in the Client class has been refactored to return a list of application certificates that are eagerly fetched and ordered as per their insertion in the database. The @Lob annotation has been added to indicate that the application certificates are stored as a large object in the database.,4,4,4,4,"Refactor: update getapplicationcertificates to store certificates as lobs
this commit refactors the getapplicationcertificates method to store application certificates as large objects (lobs) in the database, with eager fetching and ordering. this change improves the storage and retrieval of certificates associated with an application, likely for authentication or authorization purposes.",7.46,26.42,30.57,0.0,"feat: Add LOB annotation to application certificates in Client class
The `getApplicationCertificates()` method in the `Client` class has been modified to include an `@Lob` annotation, allowing the list of application certificates to be stored as a large object (LOB) in the database. This change is likely driven by a need to optimize the storage and retrieval of application certificates, potentially due to performance or scalability issues, or to accommodate larger certificate sizes. The `@Lob` annotation enables efficient storage and retrieval of large certificate data. Further investigation or additional context would be required to determine the exact motivation behind the changes.",19.19,31.85,42.82,0.0
https://github.com/apache/wicket/commit/9fb30084cbc737ec035ed0e76a425612db462b47,9fb30084cbc737ec035ed0e76a425612db462b47,apache/wicket,,"File: wicket-core/src/main/java/org/apache/wicket/core/request/mapper/BookmarkableMapper.java
Status: modified
```diff
@@ -70,7 +70,7 @@ public BookmarkableMapper()
 	}
 
 	/**
-	 * @see org.apache.wicket.request.mapper.AbstractBookmarkableMapper#buildUrl(org.apache.wicket.request.mapper.AbstractBookmarkableMapper.UrlInfo)
+	 * @see AbstractBookmarkableMapper#buildUrl(AbstractBookmarkableMapper.UrlInfo)
 	 */
 	@Override
 	protected Url buildUrl(UrlInfo info)
@@ -86,7 +86,7 @@ protected Url buildUrl(UrlInfo info)
 	}
 
 	/**
-	 * @see org.apache.wicket.request.mapper.AbstractBookmarkableMapper#parseRequest(org.apache.wicket.request.Request)
+	 * @see AbstractBookmarkableMapper#parseRequest(org.apache.wicket.request.Request)
 	 */
 	@Override
 	protected UrlInfo parseRequest(Request request)
@@ -123,7 +123,7 @@ protected UrlInfo parseRequest(Request request)
 	}
 
 	/**
-	 * @see org.apache.wicket.request.mapper.AbstractBookmarkableMapper#pageMustHaveBeenCreatedBookmarkable()
+	 * @see AbstractBookmarkableMapper#pageMustHaveBeenCreatedBookmarkable()
 	 */
 	@Override
 	protected boolean pageMustHaveBeenCreatedBookmarkable()
@@ -132,7 +132,7 @@ protected boolean pageMustHaveBeenCreatedBookmarkable()
 	}
 
 	/**
-	 * @see org.apache.wicket.request.mapper.AbstractBookmarkableMapper#getCompatibilityScore(org.apache.wicket.request.Request)
+	 * @see AbstractBookmarkableMapper#getCompatibilityScore(org.apache.wicket.request.Request)
 	 */
 	@Override
 	public int getCompatibilityScore(Request request)
```",Fix broken javadoc links,4,3,4,4,fix javadoc warnings,4,3,4,4,Style: Update comments in BookmarkableMapper.java Updated the comments in the `BookmarkableMapper.java` file to use a shorter form of the class name. This change improves the readability of the code and makes it easier to understand.,4,4,4,4,"Refactor: simplify javadoc references
removed redundant package names from javadoc references in bookmarkablemapper, making the code more concise and easier to read.",4.81,24.14,25.13,0.0,"refactor: Update comment lines in BookmarkableMapper.java to simplify code
Refactored BookmarkableMapper.java to improve maintainability, readability, or consistency of the codebase by simplifying code. Updated comment lines above buildUrl, parseRequest, pageMustHaveBeenCreatedBookmarkable, and getCompatibilityScore methods to refer to AbstractBookmarkableMapper instead of org.apache.wicket.request.mapper.AbstractBookmarkableMapper, resulting in a more concise and simplified codebase.",9.48,28.57,34.62,0.0
