model,human_bleu,human_meteor,human_rougeL,gpt4_bleu,gpt4_meteor,gpt4_rougeL
gpt-4-turbo,1.74,18.85,15.58,100.0,99.97,100.0
Meta-Llama-3-70B-Instruct-AWQ,2.51,20.58,18.26,11.58,41.99,35.47
llama3-instruct,1.36,19.57,15.45,9.29,40.36,32.17
wizardlm2-7b-q8_0,0.95,21.26,13.66,3.68,39.97,23.45
wizardlm2,0.48,19.04,12.14,1.97,36.43,20.57
deepseek-coder-6.7b-instruct-q6_K,1.21,20.76,14.07,4.12,36.21,22.94
deepseek-coder-6.7b-instruct,1.32,20.67,15.41,3.25,34.04,22.65
vicuna-7b-v1.5-16k-q5_0,1.48,20.0,15.22,4.2,33.71,22.65
CodeQwen1.5-7B-Chat,2.51,18.98,18.01,8.71,33.24,29.88
CodeQwen1.5-7B-Chat-AWQ,2.16,20.05,18.57,6.62,32.9,26.44
CodeFuse-DeepSeek-33B-AWQ,2.09,17.07,16.81,8.24,31.22,31.44
deepseek-coder-33B-instruct-AWQ,2.01,18.05,18.26,7.13,29.02,26.89
OpenCodeInterpreter-DS-33B-AWQ,1.06,20.21,16.47,4.19,28.14,19.43
