From Files,To File
9,examples/java/src/main/java/org/apache/beam/examples/common/ExampleBigQueryTableOptions.java
7,examples/java/src/main/java/org/apache/beam/examples/common/ExampleOptions.java
1,examples/java/src/main/java/org/apache/beam/examples/common/ExamplePubsubTopicAndSubscriptionOptions.java
2,examples/java/src/main/java/org/apache/beam/examples/common/ExamplePubsubTopicOptions.java
10,examples/java/src/main/java/org/apache/beam/examples/common/ExampleUtils.java
2,examples/java/src/main/java/org/apache/beam/examples/common/WriteOneFilePerWindow.java
2,examples/java/src/main/java/org/apache/beam/examples/complete/AutoComplete.java
1,examples/java/src/main/java/org/apache/beam/examples/complete/game/GameStats.java
2,examples/java/src/main/java/org/apache/beam/examples/complete/game/HourlyTeamScore.java
1,examples/java/src/main/java/org/apache/beam/examples/complete/game/injector/InjectorUtils.java
1,examples/java/src/main/java/org/apache/beam/examples/complete/game/injector/RetryHttpInitializerWrapper.java
3,examples/java/src/main/java/org/apache/beam/examples/complete/game/LeaderBoard.java
1,examples/java/src/main/java/org/apache/beam/examples/complete/game/StatefulTeamScore.java
8,examples/java/src/main/java/org/apache/beam/examples/complete/game/UserScore.java
5,examples/java/src/main/java/org/apache/beam/examples/complete/game/utils/GameConstants.java
4,examples/java/src/main/java/org/apache/beam/examples/complete/game/utils/WriteToBigQuery.java
2,examples/java/src/main/java/org/apache/beam/examples/complete/game/utils/WriteToText.java
3,examples/java/src/main/java/org/apache/beam/examples/complete/game/utils/WriteWindowedToBigQuery.java
3,examples/java/src/main/java/org/apache/beam/examples/complete/kafkatopubsub/avro/AvroDataClass.java
2,examples/java/src/main/java/org/apache/beam/examples/complete/kafkatopubsub/avro/AvroDataClassKafkaAvroDeserializer.java
1,examples/java/src/main/java/org/apache/beam/examples/complete/kafkatopubsub/kafka/consumer/SslConsumerFactoryFn.java
2,examples/java/src/main/java/org/apache/beam/examples/complete/kafkatopubsub/kafka/consumer/Utils.java
3,examples/java/src/main/java/org/apache/beam/examples/complete/kafkatopubsub/KafkaPubsubConstants.java
1,examples/java/src/main/java/org/apache/beam/examples/complete/kafkatopubsub/KafkaToPubsub.java
4,examples/java/src/main/java/org/apache/beam/examples/complete/kafkatopubsub/options/KafkaToPubsubOptions.java
3,examples/java/src/main/java/org/apache/beam/examples/complete/kafkatopubsub/transforms/FormatTransform.java
2,examples/java/src/main/java/org/apache/beam/examples/complete/TfIdf.java
2,examples/java/src/main/java/org/apache/beam/examples/complete/TopWikipediaSessions.java
1,examples/java/src/main/java/org/apache/beam/examples/complete/TrafficMaxLaneFlow.java
1,examples/java/src/main/java/org/apache/beam/examples/complete/TrafficRoutes.java
2,examples/java/src/main/java/org/apache/beam/examples/cookbook/BigQueryTornadoes.java
1,examples/java/src/main/java/org/apache/beam/examples/cookbook/CombinePerKeyExamples.java
1,examples/java/src/main/java/org/apache/beam/examples/cookbook/FilterExamples.java
1,examples/java/src/main/java/org/apache/beam/examples/cookbook/JoinExamples.java
1,examples/java/src/main/java/org/apache/beam/examples/cookbook/MaxPerKeyExamples.java
1,examples/java/src/main/java/org/apache/beam/examples/cookbook/TriggerExample.java
1,examples/java/src/main/java/org/apache/beam/examples/DebuggingWordCount.java
1,examples/java/src/main/java/org/apache/beam/examples/snippets/Snippets.java
5,examples/java/src/main/java/org/apache/beam/examples/snippets/transforms/io/gcp/bigquery/BigQueryMyData.java
1,examples/java/src/main/java/org/apache/beam/examples/snippets/transforms/io/gcp/bigquery/BigQueryReadFromQuery.java
1,examples/java/src/main/java/org/apache/beam/examples/snippets/transforms/io/gcp/bigquery/BigQueryReadFromTable.java
1,examples/java/src/main/java/org/apache/beam/examples/snippets/transforms/io/gcp/bigquery/BigQueryReadFromTableWithBigQueryStorageAPI.java
1,examples/java/src/main/java/org/apache/beam/examples/snippets/transforms/io/gcp/bigquery/BigQuerySchemaCreate.java
1,examples/java/src/main/java/org/apache/beam/examples/snippets/transforms/io/gcp/bigquery/BigQueryTableRowCreate.java
1,examples/java/src/main/java/org/apache/beam/examples/snippets/transforms/io/gcp/bigquery/BigQueryWriteToTable.java
8,examples/java/src/main/java/org/apache/beam/examples/subprocess/configuration/SubProcessConfiguration.java
3,examples/java/src/main/java/org/apache/beam/examples/subprocess/kernel/SubProcessCommandLineArgs.java
1,examples/java/src/main/java/org/apache/beam/examples/subprocess/kernel/SubProcessIOFiles.java
2,examples/java/src/main/java/org/apache/beam/examples/subprocess/kernel/SubProcessKernel.java
2,examples/java/src/main/java/org/apache/beam/examples/subprocess/SubProcessPipelineOptions.java
3,examples/java/src/main/java/org/apache/beam/examples/subprocess/utils/CallingSubProcessUtils.java
2,examples/java/src/main/java/org/apache/beam/examples/subprocess/utils/ExecutableFile.java
4,examples/java/src/main/java/org/apache/beam/examples/subprocess/utils/FileUtils.java
1,examples/java/src/main/java/org/apache/beam/examples/WindowedWordCount.java
7,examples/java/src/main/java/org/apache/beam/examples/WordCount.java
1,learning/katas/java/Common Transforms/Aggregation/Count/src/org/apache/beam/learning/katas/commontransforms/aggregation/count/Task.java
1,learning/katas/java/Common Transforms/Aggregation/Max/src/org/apache/beam/learning/katas/commontransforms/aggregation/max/Task.java
1,learning/katas/java/Common Transforms/Aggregation/Mean/src/org/apache/beam/learning/katas/commontransforms/aggregation/mean/Task.java
1,learning/katas/java/Common Transforms/Aggregation/Min/src/org/apache/beam/learning/katas/commontransforms/aggregation/min/Task.java
1,learning/katas/java/Common Transforms/Aggregation/Sum/src/org/apache/beam/learning/katas/commontransforms/aggregation/sum/Task.java
1,learning/katas/java/Common Transforms/Filter/Filter/src/org/apache/beam/learning/katas/commontransforms/filter/filter/Task.java
1,learning/katas/java/Common Transforms/Filter/ParDo/src/org/apache/beam/learning/katas/commontransforms/filter/pardo/Task.java
1,learning/katas/java/Common Transforms/WithKeys/WithKeys/src/org/apache/beam/learning/katas/commontransforms/withkeys/Task.java
1,learning/katas/java/Core Transforms/Branching/Branching/src/org/apache/beam/learning/katas/coretransforms/branching/Task.java
1,learning/katas/java/Core Transforms/CoGroupByKey/CoGroupByKey/src/org/apache/beam/learning/katas/coretransforms/cogroupbykey/Task.java
1,learning/katas/java/Core Transforms/CoGroupByKey/CoGroupByKey/src/org/apache/beam/learning/katas/coretransforms/cogroupbykey/WordsAlphabet.java
1,learning/katas/java/Core Transforms/Combine/BinaryCombineFn Lambda/src/org/apache/beam/learning/katas/coretransforms/combine/binarycombinefnlambda/Task.java
1,learning/katas/java/Core Transforms/Combine/BinaryCombineFn/src/org/apache/beam/learning/katas/coretransforms/combine/binarycombinefn/Task.java
1,learning/katas/java/Core Transforms/Combine/Combine PerKey/src/org/apache/beam/learning/katas/coretransforms/combine/combineperkey/Task.java
1,learning/katas/java/Core Transforms/Combine/CombineFn/src/org/apache/beam/learning/katas/coretransforms/combine/combinefn/Task.java
1,learning/katas/java/Core Transforms/Combine/Simple Function/src/org/apache/beam/learning/katas/coretransforms/combine/simple/Task.java
