From Files,To File
2,examples/hadoop_cql3_word_count/src/WordCount.java
3,interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationException.java
3,interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java
2,interface/thrift/gen-java/org/apache/cassandra/thrift/AuthorizationException.java
2,interface/thrift/gen-java/org/apache/cassandra/thrift/CASResult.java
17,interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java
3,interface/thrift/gen-java/org/apache/cassandra/thrift/cassandraConstants.java
10,interface/thrift/gen-java/org/apache/cassandra/thrift/CfDef.java
2,interface/thrift/gen-java/org/apache/cassandra/thrift/CfSplit.java
18,interface/thrift/gen-java/org/apache/cassandra/thrift/Column.java
8,interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnDef.java
18,interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnOrSuperColumn.java
12,interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnParent.java
6,interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnPath.java
2,interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnSlice.java
7,interface/thrift/gen-java/org/apache/cassandra/thrift/Compression.java
14,interface/thrift/gen-java/org/apache/cassandra/thrift/ConsistencyLevel.java
7,interface/thrift/gen-java/org/apache/cassandra/thrift/CounterColumn.java
4,interface/thrift/gen-java/org/apache/cassandra/thrift/CounterSuperColumn.java
3,interface/thrift/gen-java/org/apache/cassandra/thrift/CqlMetadata.java
7,interface/thrift/gen-java/org/apache/cassandra/thrift/CqlPreparedResult.java
12,interface/thrift/gen-java/org/apache/cassandra/thrift/CqlResult.java
4,interface/thrift/gen-java/org/apache/cassandra/thrift/CqlResultType.java
5,interface/thrift/gen-java/org/apache/cassandra/thrift/CqlRow.java
5,interface/thrift/gen-java/org/apache/cassandra/thrift/Deletion.java
2,interface/thrift/gen-java/org/apache/cassandra/thrift/EndpointDetails.java
3,interface/thrift/gen-java/org/apache/cassandra/thrift/IndexClause.java
4,interface/thrift/gen-java/org/apache/cassandra/thrift/IndexExpression.java
1,interface/thrift/gen-java/org/apache/cassandra/thrift/IndexOperator.java
5,interface/thrift/gen-java/org/apache/cassandra/thrift/IndexType.java
11,interface/thrift/gen-java/org/apache/cassandra/thrift/InvalidRequestException.java
5,interface/thrift/gen-java/org/apache/cassandra/thrift/KeyRange.java
5,interface/thrift/gen-java/org/apache/cassandra/thrift/KeySlice.java
6,interface/thrift/gen-java/org/apache/cassandra/thrift/KsDef.java
2,interface/thrift/gen-java/org/apache/cassandra/thrift/MultiSliceRequest.java
11,interface/thrift/gen-java/org/apache/cassandra/thrift/Mutation.java
3,interface/thrift/gen-java/org/apache/cassandra/thrift/NotFoundException.java
4,interface/thrift/gen-java/org/apache/cassandra/thrift/SchemaDisagreementException.java
10,interface/thrift/gen-java/org/apache/cassandra/thrift/SlicePredicate.java
6,interface/thrift/gen-java/org/apache/cassandra/thrift/SliceRange.java
5,interface/thrift/gen-java/org/apache/cassandra/thrift/SuperColumn.java
6,interface/thrift/gen-java/org/apache/cassandra/thrift/TimedOutException.java
4,interface/thrift/gen-java/org/apache/cassandra/thrift/TokenRange.java
2,interface/thrift/gen-java/org/apache/cassandra/thrift/TriggerDef.java
6,interface/thrift/gen-java/org/apache/cassandra/thrift/UnavailableException.java
1,src/java/org/apache/cassandra/auth/AllowAllAuthenticator.java
1,src/java/org/apache/cassandra/auth/AllowAllAuthorizer.java
1,src/java/org/apache/cassandra/auth/AllowAllInternodeAuthenticator.java
5,src/java/org/apache/cassandra/auth/AuthCache.java
4,src/java/org/apache/cassandra/auth/AuthCacheMBean.java
1,src/java/org/apache/cassandra/auth/AuthConfig.java
23,src/java/org/apache/cassandra/auth/AuthenticatedUser.java
