commit_url,commit,project,Multi-files?,HM,OMG
https://github.com/apache/ambari/commit/e3e91155adb831bb487133b16c7ab78a230a713f,e3e91155adb831bb487133b16c7ab78a230a713f,apache/ambari,,"Revert ""Fix unnecessary type casting in Test"" This reverts commit f3ab77c.","Refactor: Specify type of HashMap in `testTimelineMetricCachePrecisionUpdates()`In the `testTimelineMetricCachePrecisionUpdates()` method in the `TimelineMetricCacheTest.java` file, the type of the HashMap `valueMap` was specified in its initialization. This change improves the code's internal structure without altering its external behavior._x001B_"
https://github.com/apache/ant/commit/89aa7775a83989345756349f99bd3556780eafee,89aa7775a83989345756349f99bd3556780eafee,apache/ant,,Added some javadocs for OS condition.,Feat: Improve documentation in Os.java Added detailed comments to the setFamily and eval methods in the Os.java file. The comments provide information about the functionality of the methods and the expected input for the setFamily method.
https://github.com/apache/ant/commit/5b377d290d4ff3d4557987da9b3c2dd802203cde,5b377d290d4ff3d4557987da9b3c2dd802203cde,apache/ant,,Last weeks changes took away helpful information about why exec failed to run; this puts it back in.,"Fix: Provide more detailed exception message in `runExec` method In the `runExec` method of `ExecTask.java`, the exception message when the command line process execution fails has been updated to include more information about the exception. This change improves the error handling by providing more context about the exception, which can be helpful for debugging._x001B_[0m"
https://github.com/apache/ant/commit/1a3090627d25c1ede9407003e24d7e76ca48f293,1a3090627d25c1ede9407003e24d7e76ca48f293,apache/ant,,Made complex loop counter a simple constant Removing a Audit violation,"Refactor: Optimize loop in XMLValidateTask This commit introduces a minor optimization in the XMLValidateTask class. A new variable 'size' is introduced to hold the size of 'm_dtdLocations', which is then used in the for loop condition. This change improves the structure of the code without altering its functionality._x001B_[0m"
https://github.com/apache/ant/commit/cfa604fd9941bf59641e989306c4356dab156015,cfa604fd9941bf59641e989306c4356dab156015,apache/ant,,testcase wouldn't compile - slipping fingers?,"Fix: Correct object used to set date in testDateISO() method In the 'testDateISO()' method of the 'DateUtilsTest.java' file, the object used to set the calendar date has been corrected from 'emailtaskcal' to 'cal'. This change ensures that the method tests the conversion of a date to an ISO 8601 string correctly._x001B_[0m"
https://github.com/apache/ant/commit/5e099552e5af434568a4294cf7bcebb732cd3bfa,5e099552e5af434568a4294cf7bcebb732cd3bfa,apache/ant,Y,Delete some unused variables,"Refactor: Remove unused variables in Translate.java In both the 'proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java' and 'proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java' files, the private Locale variable 'locale' and the StringBuffer 'newline' in the 'translate' method have been removed. These variables were not used, and their removal simplifies the code without affecting its functionality._x001B_[0m"
https://github.com/apache/ant/commit/4ffa9e1380956291543b6662e6ebfe89e859ebeb,4ffa9e1380956291543b6662e6ebfe89e859ebeb,apache/ant,,quick fix for Ant.java use of property in Ant#reinit,"Fix: Handle null task in createTask method In the createTask method of the ComponentHelper class, added a condition to handle a case where the task is null and the taskType equals ""property"". In this case, a new task definition is added and a new task is created. This is a fix for a situation where the ""property"" task is used before the project is initialized._x001B_[0m"
https://github.com/apache/ant/commit/ea0ea86ba268d63b39f8e608a746e4aad1eb1b3c,ea0ea86ba268d63b39f8e608a746e4aad1eb1b3c,apache/ant,,cancel previous change,"Fix: Update resource map loading in Translate.java This commit updates the method loadResourceMaps() in Translate.java to load resource maps for a specific locale and the default locale, processing each bundle file in a specific order. The change enhances the specificity of the resource map loading process._x001B_[0m"
https://github.com/apache/ant/commit/42e30982adb99585237d6b9c9478ca1d647cc074,42e30982adb99585237d6b9c9478ca1d647cc074,apache/ant,,Fix incorrect finalize override,"Refactor: Change visibility of finalize method in CBZip2OutputStream The visibility of the `finalize` method in `CBZip2OutputStream.java` has been changed from `public` to `protected`, and a call to `super.finalize()` has been added. This ensures that the object is properly closed when it's garbage collected._x001B_[0m"
https://github.com/apache/ant/commit/50f9f4ee6f3a436fe05a0360e6e1d09851aba00c,50f9f4ee6f3a436fe05a0360e6e1d09851aba00c,apache/ant,,Add missing import,Feat: Add import statement in TarRoundTripTest.java Added import statement for ByteArrayInputStream in TarRoundTripTest.java.
https://github.com/apache/ant/commit/4177bdb64e339c8ee010ab514d0670cdcee1d963,4177bdb64e339c8ee010ab514d0670cdcee1d963,apache/ant,,mistake found ... oops ... Corrected,"Fix: Correct classification of symbolic links in FTP.java In the method 'scandir' of the class 'FTP.java', symbolic links were previously classified as directories and added to 'dirsExcluded'. This commit corrects this misclassification by adding symbolic links to 'filesExcluded' instead. This change ensures that symbolic links are correctly identified and handled."
https://github.com/apache/ant/commit/f26efe57b3dd44192d50ef1af3befe01a03c7bf6,f26efe57b3dd44192d50ef1af3befe01a03c7bf6,apache/ant,,typo - sort of,Style: Corrected language in comment Changed the language of a comment in the StyleTest.java file from German to English for better understanding.
https://github.com/apache/ant/commit/443bf819ed21ca24bcdf71d48e0c2fbc8cd1be3d,443bf819ed21ca24bcdf71d48e0c2fbc8cd1be3d,apache/ant,,Make SQL task work under Oracle,Refactor: Modify loop condition in execSQL method This commit modifies the condition in the do-while loop in the execSQL method of the SQLExec.java file. The change is a refactor aimed at improving the structure or readability of the code. The execSQL method is responsible for executing a SQL statement and handling any SQL warnings or errors. The modification might affect how the method handles the SQL execution._x001B_[0m
https://github.com/apache/ant/commit/efef302a3da9a9e063da729c92f6f2b997884a9a,efef302a3da9a9e063da729c92f6f2b997884a9a,apache/ant,,Allow references and properties to be null without causing NPE in BSF,"Fix: Add null check before declaring a bean in ScriptRunner In the `executeScript(String execName)` method of `ScriptRunner.java`, a null check is added before declaring a bean. If the value is null, the bean is undeclared. This change is made to ensure that the script is executed using the beanshell scripting framework."
https://github.com/apache/ant/commit/1a5baa2ad88ff04ee5ffa0d12774bb824ae78082,1a5baa2ad88ff04ee5ffa0d12774bb824ae78082,apache/ant,,raise log level of targets to match that of task events,"Refactor: Change logging level in targetStarted method The logging level in the `targetStarted` method of the `CommonsLoggingListener` class has been changed from `Project.MSG_DEBUG` to `Project.MSG_VERBOSE`. This is a refactor commit, meaning the code has been changed to improve its internal structure without altering its external behavior. The functionality of the `targetStarted` method, which logs the start of a target during a build process, remains the same."
https://github.com/apache/ant/commit/2bc2f8e4fa99ff51eaec0156d0a7a97bad5eab53,2bc2f8e4fa99ff51eaec0156d0a7a97bad5eab53,apache/ant,,Remove Steve's complaint ;) after Stefan and Peter's recent Location changes,"Style: Refactor comments in EchoXML.java This commit refactors the comments in the EchoXML.java file for better readability and understanding. A line of code has also been removed. The functionality of the EchoXML class, which writes XML content to a specified file or log, remains unchanged."
https://github.com/apache/ant/commit/a2cedaed6c1a36e3550cc939393a9d77b3bb28ac,a2cedaed6c1a36e3550cc939393a9d77b3bb28ac,apache/ant,,Same fix as for AncestorAnalyzer - make code compile with BCEL's trunk,"Fix: Improve exception handling in FullAnalyzer constructor In the FullAnalyzer class, the exception handling in the constructor has been improved. Previously, only IOExceptions were caught and ignored. Now, all exceptions are caught, and if the exception is not an IOException, a BuildException is thrown. This change ensures that unexpected exceptions do not go unnoticed, improving the robustness of the FullAnalyzer class, which is responsible for analyzing and determining all class-class dependencies in a Java application."
https://github.com/apache/ant/commit/0b3dbe0ca84c2239ed930097c355bc7896d2e1c0,0b3dbe0ca84c2239ed930097c355bc7896d2e1c0,apache/ant,,"this kind of problem should be rare and should only affect recompiles, thus doesn't impact drop-in BC","Refactor: Add type casting to getReference() method call in test1() In the `test1()` method of the `RedirectorElementTest.java` file, a type casting was added to the `getReference()` method call. This change improves the readability of the code without altering its functionality. The method tests if the project reference ""test1"" is an instance of RedirectorElement."
https://github.com/apache/ant/commit/6cd989e534dd52130f932ce04d3ca8aafe387cc9,6cd989e534dd52130f932ce04d3ca8aafe387cc9,apache/ant,,deal with theoretical case of version scheme changing again,Refactor: Improved parsing and storing of java version number The parsing and storing of the java version number in JavaEnvUtils.java has been refactored. The java version number is now parsed using the DeweyDecimal class and stored as a string. This change improves the accuracy and readability of the java version number.
https://github.com/apache/ant/commit/9509706d70325bfd6a8f62b036d833f2fa0670db,9509706d70325bfd6a8f62b036d833f2fa0670db,apache/ant,,Correct date formatting,"Fix: Corrected date format in PropertyFileTest The testDirect() method in the PropertyFileTest class had an incorrect date format in the assertEquals method. The format was changed from ""%d/%02d/%d"" to ""%d/%02d/%02d"" to correctly represent the date. This change ensures that the test accurately checks the functionality of the PropertyFile class."
https://github.com/apache/archiva/commit/ce29219ee6409b111ce8f8191b1792c2b65a04a8,ce29219ee6409b111ce8f8191b1792c2b65a04a8,apache/archiva,Y,change required after plexus update,"Refactor: Rename method to better reflect its functionality In the files `DefaultProxyManagerTest.java` and `LegacyProxyManagerTest.java`, the method `getTestConfiguration()` has been renamed to `getProxyConfiguration()`. This change does not alter the functionality of the `setUp()` method where it is used, but provides a more accurate description of the method's purpose, which is to create and return a proxy configuration for testing purposes."
https://github.com/apache/archiva/commit/6987e689ecc1c522d53cb661fa7842284807f471,6987e689ecc1c522d53cb661fa7842284807f471,apache/archiva,,Remove useless logging,"Refactor: Remove logging statement from processSnapshots method The logging statement ""Processing snapshots."" has been removed from the processSnapshots method in the DefaultRepositoryBrowsing class. This change is part of a refactoring effort to improve the code quality."
https://github.com/apache/archiva/commit/397e88dac8af348973197806c92cbc329aefd4c2,397e88dac8af348973197806c92cbc329aefd4c2,apache/archiva,,add @SInCE for new method,Style: Add comment to `deleteArtifact` method in `RepositoriesService.java` A comment line has been added to the `deleteArtifact` method in the `RepositoriesService.java` file. The comment indicates that permissions are checked in the implementation of the method. This change does not affect the functionality of the code.
https://github.com/apache/archiva/commit/f52bade117210719e138910be18fd2001ffd25a2,f52bade117210719e138910be18fd2001ffd25a2,apache/archiva,,repository scanning test fix for idependance,Feat: Add @DirtiesContext annotation to ArchivaRepositoryScanningTaskExecutorAbstractTest This commit adds the @DirtiesContext annotation to the ArchivaRepositoryScanningTaskExecutorAbstractTest class. This annotation is used to indicate that the Spring ApplicationContext should be dirtied and thus automatically closed after each test method. This is typically used when a test method dirties the context.
https://github.com/apache/archiva/commit/a9ebba65acafda26696d1ade1a19e909d93e8385,a9ebba65acafda26696d1ade1a19e909d93e8385,apache/archiva,,Adding config file removal before tests,Feat: Add initialize method in AbstractRepositoryAdminTest This commit adds a new method 'initialize' in the AbstractRepositoryAdminTest.java file. The method is used to set up the test environment before each test. It deletes the existing configuration file if it exists and reloads the configuration. This ensures that the test environment is properly set up for each test case.
https://github.com/apache/archiva/commit/a024df32a4005fa32ef5314418aabe124a45516c,a024df32a4005fa32ef5314418aabe124a45516c,apache/archiva,,Fixing repository group implementation,Feat: Update 'createRepositoryGroup' method and add 'setRepositoryRegistry' method This commit updates the 'createRepositoryGroup' method in the 'MavenRepositoryProvider' class to create a new repository group with the given configuration. It also adds a new method 'setRepositoryRegistry' to set the repository registry. These changes enhance the functionality of the 'MavenRepositoryProvider' class._x001B_[0m
https://github.com/apache/aries/commit/b0f88c3970d09a01c17016a7b8b9dee001d4dac7,b0f88c3970d09a01c17016a7b8b9dee001d4dac7,apache/aries,,Improve timeout exception when an osgi service can't be found,"Fix: Handle different types of service availability in `getService()` In the `getService()` method of the `ReferenceRecipe.java` file, conditions have been added to handle different types of service availability. If the service is mandatory and not available, an exception is thrown after waiting for a specified timeout period. If the service is optional and not available, an exception is thrown immediately. This fix ensures that the method behaves correctly for different types of service availability."
https://github.com/apache/beam/commit/796af68ef69e7c40c41866afe6176d29feffae8a,796af68ef69e7c40c41866afe6176d29feffae8a,apache/beam,,"Fix an invalid path on Windows platforms Paths.get calls the platform's Filesystem.getPath, which validates that the path contains legal characters for file names. Since * is an illegal character for Windows, Paths.get can't be used for globs.","Fix: Update path creation in testMultipleFiles method In the testMultipleFiles method of the AvroSourceTest.java file, the path to the AvroSource has been updated. Previously, the path was created using Paths.get(), but this has been changed to use new File(). This change ensures that the AvroSource can correctly read from multiple Avro files."
https://github.com/apache/beam/commit/4fa7bd3ab96975ff1618a01f0b2920d15fb46efb,4fa7bd3ab96975ff1618a01f0b2920d15fb46efb,apache/beam,,"StreamingWriteFn: check if table exists before creating In StreamingWriteFn, every worker tries to create the table without checking beforehand whether the table exists. This behavior can lead to temporarily violating the BigQuery API quota limits on table.insert:","Feat: Modify getOrCreateTable method in BigQueryIO.java This commit modifies the `getOrCreateTable` method in the `BigQueryIO.java` file. The method now checks if a BigQuery table exists based on the provided table specification. If the table does not exist, it creates a new one. This method is thread-safe."
https://github.com/apache/beam/commit/9ed1465699d017e1ea35771ca46ef8fd2fb498c3,9ed1465699d017e1ea35771ca46ef8fd2fb498c3,apache/beam,Y,Correct URL for subnetwork,Refactor: Update GCE subnetwork description and test This commit updates the description of the GCE subnetwork for launching workers in `DataflowPipelineWorkerPoolOptions.java` and modifies the `testSubnetworkConfig()` method in `DataflowPipelineTranslatorTest.java` to test if the subnetwork configuration is correctly set in the pipeline options and properly reflected in the job environment. The changes are part of a refactor and do not alter the functionality of the code.
https://github.com/apache/beam/commit/07544ef3a47bbdfacc00c75af875c3533a5fe477,07544ef3a47bbdfacc00c75af875c3533a5fe477,apache/beam,,Remove unused body of StreamingPCollectionViewWriterFn,"Refactor: Deprecate functionality of StreamingPCollectionViewWriterFn class The processElement(ProcessContext c) method in the StreamingPCollectionViewWriterFn class has been significantly refactored. The previous implementation, which processed each element in the input PCollection and ensured that there is only one element per window for a singleton, has been removed. Now, the method throws an UnsupportedOperationException, indicating that this class is intended to be a marker class and should not be executed. This change is consistent with the updated comments for the StreamingPCollectionViewWriterFn class."
https://github.com/apache/beam/commit/916fe65e5d63981026c132454ffbc56c3d0f1ca8,916fe65e5d63981026c132454ffbc56c3d0f1ca8,apache/beam,,Ignore HBaseIOTest temporarily,"Fix: Ignore HBaseIOTest and clean up imports In this commit, the HBaseIOTest class is annotated with @Ignore, indicating that the tests in this class are not to be executed. Additionally, some unused import statements are removed to clean up the code."
https://github.com/apache/beam/commit/b92b96643732b05326150decace502194656662c,b92b96643732b05326150decace502194656662c,apache/beam,,Fix Regex#FindAll javadoc,Feat: Update method documentation and example in Regex.java This commit updates the method documentation and example usage in the `Regex.java` file. The return type in the documentation has been corrected to `PCollection<List<String>>` and the example usage has been updated accordingly.
https://github.com/apache/beam/commit/059b351e58ab746ee699ee5d8ff746a27ec7586e,059b351e58ab746ee699ee5d8ff746a27ec7586e,apache/beam,,BigQuery: swap from asSingleton to asIterable for Cleanup asIterable can be simpler for runners to implement as it does not require semantically that the PCollection being viewed contains exactly one element.,"Refactor: Change handling of cleanup signal in PassThroughThenCleanup In the `expand` method of the `PassThroughThenCleanup.java` file, the handling of the cleanup signal has been refactored. Previously, the cleanup signal was viewed as a singleton with a default value of null. Now, it is viewed as an iterable. This change does not alter the functionality of the method but changes its internal structure."
