predictor,cm,patch,rationality,comprehensiveness,conciseness,expressiveness
zeroshot-v1,add STRICT_SERVLET_COMPLIANCE to StandardHostValve,"File: java/org/apache/catalina/core/StandardHostValve.java
Status: modified
```diff
@@ -60,6 +60,12 @@ final class StandardHostValve extends ValveBase {
 
     private static final Log log = LogFactory.getLog(StandardHostValve.class);
 
+    // Saves a call to getClassLoader() on very request. Under high load these
+    // calls took just long enough to appear as a hot spot (although a very
+    // minor one) in a profiler.
+    private static final ClassLoader MY_CLASSLOADER =
+            StandardHostValve.class.getClassLoader();
+
     protected static final boolean STRICT_SERVLET_COMPLIANCE;
 
     protected static final boolean ACCESS_SESSION;
@@ -184,12 +190,10 @@ public final void invoke(Request request, Response response)
 
         // Restore the context classloader
         if (Globals.IS_SECURITY_ENABLED) {
-            PrivilegedAction<Void> pa = new PrivilegedSetTccl(
-                    StandardHostValve.class.getClassLoader());
+            PrivilegedAction<Void> pa = new PrivilegedSetTccl(MY_CLASSLOADER);
             AccessController.doPrivileged(pa);
         } else {
-            Thread.currentThread().setContextClassLoader
-                    (StandardHostValve.class.getClassLoader());
+            Thread.currentThread().setContextClassLoader(MY_CLASSLOADER);
         }
     }
 
```",3,2,3,4
zeroshot-v1,Throw an exception if a picture claims to have a negative amount of data. Should avoid problem in bug #41357,"File: src/scratchpad/src/org/apache/poi/hslf/HSLFSlideShow.java
Status: modified
```diff
@@ -35,6 +35,7 @@ Licensed to the Apache Software Foundation (ASF) under one or more
 import org.apache.poi.hpsf.SummaryInformation;
 import org.apache.poi.hpsf.DocumentSummaryInformation;
 
+import org.apache.poi.hslf.exceptions.CorruptPowerPointFileException;
 import org.apache.poi.hslf.exceptions.EncryptedPowerPointFileException;
 import org.apache.poi.hslf.record.*;
 import org.apache.poi.hslf.usermodel.PictureData;
@@ -272,6 +273,13 @@ private void readPictures() throws IOException {
             byte[] imgdata = new byte[imgsize];
             System.arraycopy(pictstream, pos, imgdata, 0, imgdata.length);
 
+			// The image size must be 0 or greater
+			// (0 is allowed, but odd, since we do wind on by the header each
+			//  time, so we won't get stuck)
+			if(imgsize < 0) {
+				throw new CorruptPowerPointFileException(""The file contains a picture, at position "" + p.size() + "", which has a negatively sized data length, so we can't trust any of the picture data"");
+			}
+
 			// If they type (including the bonus 0xF018) is 0, skip it
 			if(type == 0) {
 				System.err.println(""Problem reading picture: Invalid image type 0, on picture with length"" + imgsize + "".\nYou document will probably become corrupted if you save it!"");
```",3,2,3,4
zeroshot-v1,fix typo: wrong if guard variable,"File: src/java/org/apache/cassandra/index/SecondaryIndexManager.java
Status: modified
```diff
@@ -426,7 +426,7 @@ private Index createInstance(IndexMetadata indexDef)
             {
                 Class<? extends Index> indexClass = FBUtilities.classForName(className, ""Index"");
                 Constructor<? extends Index> ctor = indexClass.getConstructor(ColumnFamilyStore.class, IndexMetadata.class);
-                newIndex = (Index)ctor.newInstance(baseCfs, indexDef);
+                newIndex = ctor.newInstance(baseCfs, indexDef);
             }
             catch (Exception e)
             {
@@ -615,7 +615,7 @@ public int calculateIndexingPageSize()
             return DEFAULT_PAGE_SIZE;
 
         int columnsPerRow = baseCfs.metadata.partitionColumns().regulars.size();
-        if (meanCellsPerPartition <= 0)
+        if (columnsPerRow <= 0)
             return DEFAULT_PAGE_SIZE;
 
         int meanRowsPerPartition = meanCellsPerPartition / columnsPerRow;
```",3,2,3,3
zeroshot-v1,Add EOL at EOF,"File: src/protocol/native/org/apache/jmeter/protocol/system/NativeCommand.java
Status: modified
```diff
@@ -48,4 +48,4 @@ public NativeCommand(File directory, Map<String, String> env, String stdin, Stri
         super(directory, 0L, 100, env, stdin, stdout, stderr);
     }
 
-}
\ No newline at end of file
+}
```",3,2,4,3
zeroshot-v1,"Fix: Use LocaleUtil for obtaining year in DateUtil In the DateUtil class, the method for obtaining the current year has been updated. Previously, the year was obtained directly from the Calendar instance. This commit changes this to use the LocaleUtil.getLocaleCalendar() method instead. This change does not alter the overall functionality of the DateUtil class, which is responsible for handling and converting dates in Excel format in Java.","File: src/java/org/apache/poi/ss/usermodel/DateUtil.java
Status: modified
```diff
@@ -71,7 +71,7 @@ protected DateUtil() {
             .appendPattern(""[[yyyy ]dd-MMM[-yyyy]][[ ]h:m[:s] a][[ ]H:m[:s]]"")
             .appendPattern(""[M/dd[/yyyy]][[ ]h:m[:s] a][[ ]H:m[:s]]"")
             .appendPattern(""[[yyyy/]M/dd][[ ]h:m[:s] a][[ ]H:m[:s]]"")
-            .parseDefaulting(ChronoField.YEAR_OF_ERA, Calendar.getInstance().get(Calendar.YEAR))
+            .parseDefaulting(ChronoField.YEAR_OF_ERA, LocaleUtil.getLocaleCalendar().get(Calendar.YEAR))
             .toFormatter();
 
     /**
```",3,3,3,4
zeroshot-v1,remove unused code,"File: jdk-1.5/wicket-examples/src/main/java/org/apache/wicket/examples/compref/SelectPage.java
Status: modified
```diff
@@ -162,7 +162,6 @@ protected void explain()
 				+ ""&nbsp;&nbsp;&nbsp;&nbsp;ListMultipleChoice manyChoice = new ListMultipleChoice(\""choices\"", MANY_CHOICES).setMaxRows(5);\n""
 				+ ""&nbsp;&nbsp;&nbsp;&nbsp;form.add(manyChoice);"";
 
-		// TODO Post 1.2: General: Unknown todo
 		html = ""SEE INSIDE FOR NOW"";
 		code = ""SEE INSIDE FOR NOW"";
 
```",2,1,3,3
zeroshot-v1,add javadoc for Os setFamily,"File: src/main/org/apache/tools/ant/taskdefs/condition/Os.java
Status: modified
```diff
@@ -65,8 +65,24 @@
 public class Os implements Condition {
     private String family;
 
+    /**
+     * Sets the desired OS family type
+     * 
+     * @param f      The OS family type desired<br />
+     *               Possible values:<br />
+     *               <ul><li>dos</li>
+     *               <li>mac</li>
+     *               <li>netware</li>
+     *               <li>unix</li>
+     *               <li>windows</li></ul>
+     */
     public void setFamily(String f) {family = f.toLowerCase();}
 
+    /**
+     * Determines if the OS on which Ant is executing matches the type of 
+     * that set in setFamily.
+     * @see Os#setFamily(String)
+     */
     public boolean eval() throws BuildException {
         String osName = System.getProperty(""os.name"").toLowerCase();
         String pathSep = System.getProperty(""path.separator"");
```",3,3,2,3
zeroshot-v1,Make PFM string parsing a little more robust,"File: src/java/org/apache/fop/fonts/type1/PFMInputStream.java
Status: modified
```diff
@@ -19,6 +19,7 @@
 
 package org.apache.fop.fonts.type1;
 
+import java.io.EOFException;
 import java.io.IOException;
 import java.io.InputStream;
 import java.io.DataInputStream;
@@ -30,7 +31,7 @@
  */
 public class PFMInputStream extends java.io.FilterInputStream {
 
-    private DataInputStream datain;
+    private final DataInputStream datain;
 
     /**
      * Constructs a PFMInputStream based on an InputStream representing the
@@ -97,10 +98,14 @@ public long readInt() throws IOException {
     public String readString() throws IOException {
         InputStreamReader reader = new InputStreamReader(in, ""ISO-8859-1"");
         StringBuffer buf = new StringBuffer();
+
         int ch = reader.read();
         while (ch != 0) {
             buf.append((char)ch);
             ch = reader.read();
+            if (ch == -1) {
+                throw new EOFException(""Unexpected end of stream reached"");
+            }
         }
         return buf.toString();
     }
```",3,2,3,3
zeroshot-v1,Style: Remove unused import in PagingNavigationIncrementLinkTest.java Removed an unused import statement in the file `PagingNavigationIncrementLinkTest.java` to improve the style of the code.,"File: wicket/src/test/wicket/markup/html/navigation/paging/PagingNavigationIncrementLinkTest.java
Status: modified
```diff
@@ -17,7 +17,6 @@
  */
 package wicket.markup.html.navigation.paging;
 
-import wicket.WicketTestCase;
 
 /**
  * Testcase for the navigation increment link.
```",3,3,3,4
zeroshot-v1,fix javadoc warnings,"File: sdks/java/core/src/main/java/org/apache/beam/sdk/transforms/Regex.java
Status: modified
```diff
@@ -710,7 +710,8 @@ public void processElement(ProcessContext c) throws Exception {
 
   /**
    * {@code Regex.Find<String>} takes a {@code PCollection<String>} and returns a {@code
-   * PCollection<String>} representing the value extracted from the Regex groups of the input {@code
+   * PCollection<List<String>>} representing the value extracted from the
+   * Regex groups of the input {@code
    * PCollection} to the number of times that element occurs in the input.
    *
    * <p>This transform runs a Regex on the entire input line. If a portion of the line does not
@@ -721,8 +722,8 @@ public void processElement(ProcessContext c) throws Exception {
    *
    * <pre>{@code
    * PCollection<String> words = ...;
-   * PCollection<String> values =
-   *     words.apply(Regex.find(""myregex (mygroup)""));
+   * PCollection<List<String>> values =
+   *     words.apply(Regex.findAll(""myregex (mygroup)""));
    * }</pre>
    */
   public static class FindAll extends PTransform<PCollection<String>, PCollection<List<String>>> {
```",2,1,2,3
